gene_name	chr	is_neuronal	k27me3_predicted
0610040J01Rik	chr5	FALSE	FALSE
1110002E22Rik	chr3	FALSE	TRUE
1110032F04Rik	chr3	FALSE	FALSE
1500009L16Rik	chr10	FALSE	FALSE
1600014C10Rik	chr7	FALSE	TRUE
1700003F12Rik	chr2	FALSE	TRUE
1700010I14Rik	chr17	FALSE	TRUE
1700012A03Rik	chr6	FALSE	FALSE
1700012B09Rik	chr9	FALSE	TRUE
1700016H13Rik	chr5	FALSE	FALSE
1700018B08Rik	chr8	FALSE	TRUE
1700020L24Rik	chr11	FALSE	TRUE
1700024G13Rik	chr14	FALSE	TRUE
1700025C18Rik	chr2	FALSE	FALSE
1700025G04Rik	chr1	FALSE	TRUE
1700029F12Rik	chr13	FALSE	FALSE
1700113H08Rik	chr10	FALSE	FALSE
1700122O11Rik	chr17	FALSE	TRUE
1700123K08Rik	chr5	FALSE	FALSE
1700129C05Rik	chr14	FALSE	TRUE
1810024B03Rik	chr2	FALSE	TRUE
2300002M23Rik	chr17	FALSE	TRUE
2300009A05Rik	chr9	FALSE	TRUE
2310009B15Rik	chr1	FALSE	FALSE
2410004P03Rik	chr12	FALSE	FALSE
2410137M14Rik	chr17	FALSE	FALSE
2610042L04Rik	chr14	TRUE	FALSE
2610318N02Rik	chr16	FALSE	TRUE
2810459M11Rik	chr1	FALSE	FALSE
2900026A02Rik	chr5	FALSE	FALSE
3110082J24Rik	chr5	FALSE	FALSE
3425401B19Rik	chr14	FALSE	FALSE
4921504E06Rik	chr2	FALSE	TRUE
4930407I10Rik	chr15	FALSE	TRUE
4930447C04Rik	chr12	TRUE	FALSE
4930453N24Rik	chr16	FALSE	TRUE
4930455H04Rik	chr3	FALSE	FALSE
4930470P17Rik	chr2	FALSE	FALSE
4930474N05Rik	chr14	FALSE	FALSE
4930523C07Rik	chr1	FALSE	TRUE
4930544G11Rik	chr6	FALSE	FALSE
4930558K02Rik	chr1	FALSE	TRUE
4930578I06Rik	chr14	FALSE	FALSE
4930579F01Rik	chr3	FALSE	TRUE
4930583I09Rik	chr17	FALSE	TRUE
4931429L15Rik	chr9	FALSE	TRUE
4933402J07Rik	chr8	FALSE	TRUE
4933405O20Rik	chr7	FALSE	FALSE
4933407L21Rik	chr1	FALSE	TRUE
4933412E24Rik	chr15	FALSE	FALSE
5530401A14Rik	chr11	FALSE	FALSE
5730522E02Rik	chr11	FALSE	FALSE
7530416G11Rik	chr15	FALSE	FALSE
9130008F23Rik	chr17	FALSE	TRUE
9330182O14Rik	chr15	FALSE	TRUE
9430038I01Rik	chr7	FALSE	FALSE
9530068E07Rik	chr11	FALSE	FALSE
9930012K11Rik	chr14	FALSE	TRUE
A1bg	chr15	FALSE	FALSE
A2m	chr6	FALSE	FALSE
A4galt	chr15	FALSE	FALSE
A530016L24Rik	chr12	FALSE	FALSE
A930004D18Rik	chr2	FALSE	TRUE
AA467197	chr2	FALSE	TRUE
Aard	chr15	FALSE	TRUE
Aass	chr6	FALSE	FALSE
Abca1	chr4	FALSE	TRUE
Abca12	chr1	FALSE	FALSE
Abca13	chr11	TRUE	FALSE
Abca4	chr3	TRUE	TRUE
Abcb1a	chr5	TRUE	FALSE
Abcc4	chr14	FALSE	FALSE
Abcc6	chr7	FALSE	FALSE
Abcc9	chr6	FALSE	FALSE
Abcd3	chr3	FALSE	TRUE
Abcd4	chr12	FALSE	TRUE
Abcg8	chr17	FALSE	FALSE
Abi3bp	chr16	TRUE	FALSE
Abr	chr11	TRUE	FALSE
Abra	chr15	FALSE	TRUE
Abtb2	chr2	FALSE	FALSE
Acaa1b	chr9	FALSE	FALSE
Acaa2	chr18	FALSE	TRUE
Acacb	chr5	FALSE	FALSE
Acan	chr7	TRUE	FALSE
Acer2	chr4	FALSE	TRUE
Ackr3	chr1	TRUE	TRUE
Acly	chr11	FALSE	FALSE
Acnat2	chr4	FALSE	FALSE
Aco1	chr4	FALSE	FALSE
Acot10	chr15	FALSE	FALSE
Acot11	chr4	FALSE	TRUE
Acot5	chr12	FALSE	FALSE
Acox2	chr14	FALSE	TRUE
Acoxl	chr2	FALSE	TRUE
Acp7	chr7	FALSE	FALSE
Acsf2	chr11	FALSE	TRUE
Acss1	chr2	FALSE	FALSE
Acss3	chr10	FALSE	TRUE
Actbl2	chr13	TRUE	TRUE
Actc1	chr2	FALSE	TRUE
Actl7b	chr4	FALSE	FALSE
Actr5	chr2	FALSE	FALSE
Actrt2	chr4	FALSE	FALSE
Acvr2a	chr2	FALSE	FALSE
Acvrl1	chr15	FALSE	FALSE
Ada	chr2	FALSE	FALSE
Adad2	chr8	FALSE	FALSE
Adam12	chr7	FALSE	FALSE
Adam28	chr14	FALSE	TRUE
Adam33	chr2	FALSE	FALSE
Adam7	chr14	FALSE	FALSE
Adamts1	chr16	TRUE	TRUE
Adamts12	chr15	FALSE	FALSE
Adamts13	chr2	FALSE	TRUE
Adamts14	chr10	FALSE	FALSE
Adamts15	chr9	FALSE	FALSE
Adamts16	chr13	FALSE	FALSE
Adamts17	chr7	FALSE	FALSE
Adamts19	chr18	FALSE	FALSE
Adamts2	chr11	FALSE	FALSE
Adamts20	chr15	FALSE	FALSE
Adamts3	chr5	FALSE	FALSE
Adamts5	chr16	FALSE	FALSE
Adamts6	chr13	FALSE	TRUE
Adamts8	chr9	FALSE	FALSE
Adamts9	chr6	FALSE	FALSE
Adamtsl1	chr4	FALSE	TRUE
Adamtsl2	chr2	FALSE	FALSE
Adamtsl3	chr7	FALSE	FALSE
Adamtsl5	chr10	FALSE	FALSE
Adap2	chr11	FALSE	FALSE
Adarb2	chr13	FALSE	TRUE
Adcy2	chr13	FALSE	FALSE
Adcy4	chr14	FALSE	FALSE
Adcy7	chr8	FALSE	FALSE
Adcyap1	chr17	TRUE	FALSE
Adcyap1r1	chr6	FALSE	TRUE
Adgra3	chr5	FALSE	FALSE
Adgrb1	chr15	TRUE	FALSE
Adgrb3	chr1	TRUE	TRUE
Adgrd1	chr5	TRUE	FALSE
Adgre5	chr8	TRUE	FALSE
Adgrf1	chr17	TRUE	FALSE
Adgrf5	chr17	FALSE	TRUE
Adgrg1	chr8	TRUE	TRUE
Adgrg6	chr10	TRUE	FALSE
Adgrl2	chr3	TRUE	FALSE
Adgrl4	chr3	TRUE	TRUE
Adgrv1	chr13	TRUE	TRUE
Adm	chr7	TRUE	TRUE
Adm2	chr15	FALSE	TRUE
Adora2a	chr10	TRUE	FALSE
Adora2b	chr11	TRUE	FALSE
Adra1a	chr14	TRUE	TRUE
Adra1b	chr11	TRUE	FALSE
Adra1d	chr2	TRUE	FALSE
Adra2a	chr19	TRUE	FALSE
Adra2b	chr2	TRUE	FALSE
Adra2c	chr5	TRUE	FALSE
Adrb1	chr19	TRUE	FALSE
Adrb2	chr18	TRUE	TRUE
Adrb3	chr8	FALSE	FALSE
Aebp1	chr11	FALSE	TRUE
Aebp2	chr6	FALSE	TRUE
Afap1	chr5	FALSE	FALSE
Aff1	chr5	FALSE	FALSE
