gene_name	chr	is_synapse_and_mecp2_up	k27me3_remodeled
Rasgef1b	chr5	FALSE	FALSE
Dpys	chr15	FALSE	FALSE
Fgf1	chr18	FALSE	TRUE
Runx1t1	chr4	FALSE	TRUE
Trpm3	chr19	FALSE	TRUE
Pcdh9	chr14	FALSE	FALSE
Cadps	chr14	FALSE	TRUE
Gprin3	chr6	FALSE	TRUE
Csrnp3	chr2	FALSE	TRUE
Erbb4	chr1	FALSE	TRUE
Pcgf5	chr19	FALSE	TRUE
Tenm2	chr11	FALSE	TRUE
Enox1	chr14	FALSE	TRUE
Slc6a6	chr6	FALSE	TRUE
Zfp608	chr18	FALSE	TRUE
Camta1	chr4	FALSE	TRUE
Lsamp	chr16	FALSE	TRUE
Btbd3	chr2	FALSE	TRUE
Tjp1	chr7	FALSE	FALSE
Abr	chr11	FALSE	TRUE
Ephb1	chr9	FALSE	FALSE
Plekha6	chr1	FALSE	TRUE
Tafa5	chr15	FALSE	FALSE
Gsg1l	chr7	FALSE	TRUE
Rnf157	chr11	FALSE	TRUE
Tgfbr3	chr5	FALSE	FALSE
Sema6d	chr2	FALSE	FALSE
Prkar2b	chr12	FALSE	FALSE
Afap1	chr5	FALSE	TRUE
Zbtb20	chr16	FALSE	TRUE
Lrrc4c	chr2	FALSE	FALSE
Hdac9	chr12	FALSE	FALSE
Cmip	chr8	FALSE	TRUE
Epha3	chr16	TRUE	TRUE
Cacna2d2	chr9	FALSE	FALSE
Pappa2	chr1	FALSE	FALSE
Arhgef38	chr3	FALSE	FALSE
Fam107b	chr2	FALSE	FALSE
Nln	chr13	FALSE	FALSE
Zic4	chr9	FALSE	TRUE
Pag1	chr3	FALSE	FALSE
Fstl4	chr11	FALSE	FALSE
Opcml	chr9	FALSE	FALSE
Kcnq1	chr7	FALSE	FALSE
Wdr25	chr12	FALSE	FALSE
Igsf21	chr4	FALSE	FALSE
Med13l	chr5	FALSE	FALSE
Col27a1	chr4	FALSE	TRUE
Cntnap2	chr6	FALSE	TRUE
Nav3	chr10	FALSE	TRUE
Vwf	chr6	FALSE	FALSE
Angpt1	chr15	FALSE	TRUE
Pcdh7	chr5	FALSE	TRUE
Acly	chr11	FALSE	FALSE
Gria1	chr11	TRUE	TRUE
Lrba	chr3	FALSE	TRUE
Fam135b	chr15	FALSE	TRUE
Ptk2	chr15	FALSE	FALSE
Dgkb	chr12	FALSE	FALSE
Nfib	chr4	FALSE	TRUE
Zbtb16	chr9	FALSE	TRUE
Foxp1	chr6	FALSE	TRUE
Ppp2r2b	chr18	FALSE	FALSE
Fgf20	chr8	FALSE	FALSE
Shank2	chr7	FALSE	TRUE
Nfia	chr4	FALSE	TRUE
Grxcr1	chr5	FALSE	TRUE
Myo3b	chr2	FALSE	TRUE
Prune2	chr19	FALSE	TRUE
Ift57	chr16	FALSE	TRUE
Snph	chr2	FALSE	FALSE
Dagla	chr19	FALSE	TRUE
Nkain3	chr4	FALSE	TRUE
Gtf3c1	chr7	FALSE	TRUE
Ebf2	chr14	FALSE	FALSE
Mamdc2	chr19	FALSE	TRUE
Sdk1	chr5	FALSE	FALSE
Prkca	chr11	FALSE	TRUE
Mark1	chr1	FALSE	FALSE
Celf4	chr18	FALSE	FALSE
Epha5	chr5	TRUE	FALSE
Pcsk5	chr19	FALSE	FALSE
Clybl	chr14	FALSE	TRUE
Prickle2	chr6	FALSE	FALSE
Npvf	chr6	FALSE	TRUE
Alk	chr17	FALSE	TRUE
Slc17a6	chr7	FALSE	FALSE
Itgb5	chr16	FALSE	TRUE
Runx1	chr16	FALSE	FALSE
Vav2	chr2	FALSE	TRUE
Grip1	chr10	FALSE	TRUE
