gene_name	chr	is_neuronal	atac_predicted
0610010K14Rik	chr11	FALSE	FALSE
0610030E20Rik	chr6	FALSE	FALSE
0610040J01Rik	chr5	FALSE	FALSE
1110002E22Rik	chr3	FALSE	TRUE
1110004F10Rik	chr7	FALSE	FALSE
1110032F04Rik	chr3	FALSE	FALSE
1110038F14Rik	chr15	FALSE	FALSE
1110059E24Rik	chr19	FALSE	FALSE
1110065P20Rik	chr4	FALSE	FALSE
1190005I06Rik	chr8	FALSE	FALSE
1500009L16Rik	chr10	FALSE	FALSE
1500011B03Rik	chr5	FALSE	FALSE
1600012H06Rik	chr17	FALSE	FALSE
1600014C10Rik	chr7	FALSE	FALSE
1600014C23Rik	chr17	FALSE	FALSE
1700001J03Rik	chr5	FALSE	TRUE
1700001O22Rik	chr2	FALSE	FALSE
1700003E16Rik	chr6	FALSE	FALSE
1700008O03Rik	chr7	FALSE	FALSE
1700008P02Rik	chr3	FALSE	FALSE
1700009N14Rik	chr4	FALSE	FALSE
1700010I14Rik	chr17	FALSE	TRUE
1700011L22Rik	chr8	FALSE	TRUE
1700012A03Rik	chr6	FALSE	FALSE
1700013G24Rik	chr4	FALSE	TRUE
1700016H13Rik	chr5	FALSE	FALSE
1700017B05Rik	chr9	FALSE	FALSE
1700017N19Rik	chr10	FALSE	TRUE
1700018B08Rik	chr8	FALSE	FALSE
1700019A02Rik	chr1	FALSE	FALSE
1700019D03Rik	chr1	FALSE	FALSE
1700020L24Rik	chr11	FALSE	FALSE
1700020N01Rik	chr10	FALSE	FALSE
1700024G13Rik	chr14	FALSE	FALSE
1700025C18Rik	chr2	FALSE	FALSE
1700025G04Rik	chr1	FALSE	FALSE
1700028K03Rik	chr5	TRUE	TRUE
1700029F12Rik	chr13	FALSE	FALSE
1700029H14Rik	chr8	FALSE	FALSE
1700030J22Rik	chr8	FALSE	TRUE
1700030K09Rik	chr8	FALSE	FALSE
1700031L13Rik	chr5	FALSE	FALSE
1700066M21Rik	chr1	FALSE	FALSE
1700069L16Rik	chr5	FALSE	FALSE
1700088E04Rik	chr15	FALSE	FALSE
1700102P08Rik	chr9	FALSE	TRUE
1700113H08Rik	chr10	FALSE	FALSE
1700122O11Rik	chr17	FALSE	FALSE
1700129C05Rik	chr14	FALSE	FALSE
1810010H24Rik	chr11	FALSE	TRUE
1810024B03Rik	chr2	FALSE	FALSE
1810030O07Rik	chrX	FALSE	FALSE
1810037I17Rik	chr3	FALSE	TRUE
1810055G02Rik	chr19	FALSE	FALSE
1810062G17Rik	chr3	FALSE	FALSE
2010003K11Rik	chr19	FALSE	FALSE
2010109A12Rik	chr5	FALSE	FALSE
2200002D01Rik	chr7	FALSE	TRUE
2210016L21Rik	chr5	FALSE	FALSE
2210408I21Rik	chr13	FALSE	FALSE
2300002M23Rik	chr17	FALSE	FALSE
2300009A05Rik	chr9	FALSE	FALSE
2310009B15Rik	chr1	FALSE	FALSE
2310011J03Rik	chr10	FALSE	FALSE
2310022B05Rik	chr8	FALSE	FALSE
2310030G06Rik	chr9	FALSE	FALSE
2310033P09Rik	chr11	FALSE	FALSE
2310039H08Rik	chr17	FALSE	FALSE
2310057J18Rik	chr10	FALSE	FALSE
2310057M21Rik	chr7	FALSE	FALSE
2310061I04Rik	chr17	FALSE	FALSE
2410002F23Rik	chr7	FALSE	FALSE
2410004B18Rik	chr3	FALSE	FALSE
2410004P03Rik	chr12	FALSE	FALSE
2510009E07Rik	chr16	TRUE	FALSE
2510039O18Rik	chr4	FALSE	TRUE
2610042L04Rik	chr14	TRUE	FALSE
2610318N02Rik	chr16	FALSE	FALSE
2700049A03Rik	chr12	FALSE	TRUE
2700062C07Rik	chr18	FALSE	FALSE
