gene_name	chr	is_neuronal	k27ac_predicted
0610030E20Rik	chr6	FALSE	FALSE
1110002E22Rik	chr3	FALSE	TRUE
1110004F10Rik	chr7	FALSE	FALSE
1110038F14Rik	chr15	FALSE	FALSE
1110059E24Rik	chr19	FALSE	TRUE
1110059G10Rik	chr9	FALSE	FALSE
1110065P20Rik	chr4	FALSE	TRUE
1600014C10Rik	chr7	FALSE	TRUE
1700001J03Rik	chr5	FALSE	TRUE
1700008O03Rik	chr7	FALSE	FALSE
1700009N14Rik	chr4	FALSE	FALSE
1700010I14Rik	chr17	FALSE	FALSE
1700011L22Rik	chr8	FALSE	TRUE
1700012A03Rik	chr6	FALSE	FALSE
1700017B05Rik	chr9	FALSE	TRUE
1700017N19Rik	chr10	FALSE	TRUE
1700019A02Rik	chr1	FALSE	TRUE
1700019D03Rik	chr1	FALSE	FALSE
1700024G13Rik	chr14	FALSE	FALSE
1700025G04Rik	chr1	FALSE	TRUE
1700029H14Rik	chr8	FALSE	TRUE
1700056E22Rik	chr1	FALSE	TRUE
1700069L16Rik	chr5	FALSE	TRUE
1700123O20Rik	chr14	FALSE	FALSE
1700129C05Rik	chr14	FALSE	TRUE
1810010H24Rik	chr11	FALSE	TRUE
1810024B03Rik	chr2	FALSE	FALSE
1810030O07Rik	chrX	FALSE	FALSE
1810055G02Rik	chr19	FALSE	TRUE
2010003K11Rik	chr19	FALSE	TRUE
2010109A12Rik	chr5	FALSE	FALSE
2210016L21Rik	chr5	FALSE	FALSE
2300009A05Rik	chr9	FALSE	FALSE
2310011J03Rik	chr10	FALSE	FALSE
2310033P09Rik	chr11	FALSE	FALSE
2310039H08Rik	chr17	FALSE	TRUE
2310057M21Rik	chr7	FALSE	TRUE
2310061I04Rik	chr17	FALSE	FALSE
2410002F23Rik	chr7	FALSE	FALSE
2510009E07Rik	chr16	TRUE	TRUE
2700049A03Rik	chr12	FALSE	FALSE
2700062C07Rik	chr18	FALSE	TRUE
2810004N23Rik	chr8	FALSE	TRUE
2810021J22Rik	chr11	FALSE	TRUE
3110040N11Rik	chr7	FALSE	TRUE
3300002I08Rik	chr2	FALSE	FALSE
4833439L19Rik	chr13	FALSE	TRUE
4930444P10Rik	chr1	FALSE	TRUE
4930451I11Rik	chr7	FALSE	FALSE
4930453N24Rik	chr16	FALSE	FALSE
4930469K13Rik	chr11	FALSE	FALSE
4930505A04Rik	chr11	FALSE	TRUE
4930583I09Rik	chr17	FALSE	TRUE
4931414P19Rik	chr14	FALSE	FALSE
4931422A03Rik	chr2	FALSE	FALSE
4931429L15Rik	chr9	FALSE	TRUE
4933402J07Rik	chr8	FALSE	TRUE
4933405L10Rik	chr8	FALSE	TRUE
4933427D14Rik	chr11	FALSE	TRUE
4933428G20Rik	chr11	FALSE	FALSE
4933430I17Rik	chr4	FALSE	FALSE
4933434E20Rik	chr3	FALSE	FALSE
4933436I01Rik	chrX	FALSE	TRUE
5031439G07Rik	chr15	FALSE	FALSE
5530401A14Rik	chr11	FALSE	FALSE
5730522E02Rik	chr11	FALSE	FALSE
6430548M08Rik	chr8	FALSE	FALSE
6430571L13Rik	chr9	FALSE	TRUE
7530416G11Rik	chr15	FALSE	FALSE
9130401M01Rik	chr15	FALSE	TRUE
9230112D13Rik	chr14	FALSE	TRUE
9330159F19Rik	chr10	FALSE	FALSE
9430038I01Rik	chr7	FALSE	FALSE
A130010J15Rik	chr1	FALSE	TRUE
A330070K13Rik	chr5	FALSE	TRUE
A3galt2	chr4	FALSE	FALSE
A430005L14Rik	chr4	FALSE	TRUE
A430033K04Rik	chr5	FALSE	TRUE
A830018L16Rik	chr1	FALSE	FALSE
A930004D18Rik	chr2	FALSE	FALSE
A930009A15Rik	chr10	FALSE	FALSE
A930018P22Rik	chr2	FALSE	FALSE
A930033H14Rik	chr10	FALSE	FALSE
Aacs	chr5	FALSE	TRUE
Aadac	chr3	FALSE	TRUE
Aadat	chr8	FALSE	TRUE
Aak1	chr6	TRUE	FALSE
Aamp	chr1	FALSE	TRUE
Aar2	chr2	FALSE	FALSE
Aard	chr15	FALSE	TRUE
Aars2	chr17	FALSE	TRUE
Aatf	chr11	FALSE	TRUE
Aatk	chr11	TRUE	FALSE
Abat	chr16	TRUE	FALSE
Abca1	chr4	FALSE	TRUE
Abca2	chr2	TRUE	TRUE
Abca3	chr17	FALSE	FALSE
Abca4	chr3	TRUE	TRUE
Abca5	chr11	FALSE	FALSE
Abca7	chr10	TRUE	FALSE
Abca8b	chr11	FALSE	TRUE
Abcb7	chrX	FALSE	FALSE
Abcb8	chr5	FALSE	TRUE
Abcb9	chr5	FALSE	TRUE
Abcc1	chr16	TRUE	TRUE
Abcc10	chr17	FALSE	FALSE
Abcc12	chr8	FALSE	TRUE
Abcc3	chr11	FALSE	TRUE
Abcc4	chr14	FALSE	FALSE
Abcc5	chr16	FALSE	FALSE
Abcc8	chr7	TRUE	FALSE
Abcd1	chrX	TRUE	FALSE
Abcd2	chr15	TRUE	FALSE
Abcd3	chr3	FALSE	FALSE
Abce1	chr8	FALSE	FALSE
Abcf1	chr17	FALSE	TRUE
Abcf2	chr5	FALSE	FALSE
Abcg1	chr17	FALSE	FALSE
Abcg4	chr9	FALSE	FALSE
Abhd10	chr16	FALSE	TRUE
Abhd11	chr5	FALSE	FALSE
Abhd12	chr2	FALSE	FALSE
Abhd14b	chr9	FALSE	TRUE
Abhd16a	chr17	FALSE	FALSE
Abhd16b	chr2	FALSE	TRUE
Abhd17a	chr10	TRUE	FALSE
Abhd17b	chr19	TRUE	FALSE
Abhd17c	chr7	TRUE	TRUE
Abhd18	chr3	FALSE	TRUE
Abhd2	chr7	FALSE	TRUE
Abhd3	chr18	FALSE	FALSE
Abhd4	chr14	FALSE	FALSE
Abhd6	chr14	TRUE	FALSE
Abhd8	chr8	FALSE	FALSE
Abi1	chr2	TRUE	FALSE
Abi2	chr1	TRUE	TRUE
Abl1	chr2	TRUE	FALSE
Abl2	chr1	TRUE	FALSE
Ablim1	chr19	TRUE	TRUE
Ablim2	chr5	FALSE	TRUE
Ablim3	chr18	FALSE	FALSE
Abra	chr15	FALSE	TRUE
Abracl	chr10	FALSE	TRUE
Abraxas1	chr5	FALSE	FALSE
Abtb1	chr6	FALSE	TRUE
Abtb2	chr2	FALSE	FALSE
Acaa1a	chr9	FALSE	TRUE
Acaca	chr11	FALSE	TRUE
Acad11	chr9	FALSE	FALSE
Acad8	chr9	FALSE	FALSE
Acadm	chr3	FALSE	TRUE
Acadvl	chr11	FALSE	FALSE
Acap2	chr16	FALSE	FALSE
Acap3	chr4	TRUE	TRUE
Acat1	chr9	FALSE	FALSE
Acat2	chr17	FALSE	FALSE
Acbd3	chr1	FALSE	TRUE
Acbd4	chr11	FALSE	TRUE
Acbd5	chr2	FALSE	FALSE
Acbd6	chr1	FALSE	FALSE
Acer3	chr7	TRUE	FALSE
Ache	chr5	TRUE	TRUE
Acin1	chr14	FALSE	FALSE
Ackr1	chr1	FALSE	FALSE
Acly	chr11	FALSE	FALSE
Aco1	chr4	FALSE	FALSE
Aco2	chr15	FALSE	FALSE
Acot11	chr4	FALSE	TRUE
Acot13	chr13	FALSE	TRUE
Acot2	chr12	FALSE	TRUE
Acot6	chr12	FALSE	TRUE
Acot7	chr4	FALSE	TRUE
Acot8	chr2	FALSE	TRUE
Acox1	chr11	FALSE	FALSE
Acp1	chr12	FALSE	FALSE
Acp2	chr2	FALSE	FALSE
Acp6	chr3	FALSE	TRUE
Acsf3	chr8	FALSE	FALSE
Acsl1	chr8	FALSE	TRUE
Acsl3	chr1	TRUE	FALSE
Acsl4	chrX	TRUE	TRUE
Acsl5	chr19	FALSE	FALSE
Acsl6	chr11	TRUE	FALSE
Acss2	chr2	TRUE	TRUE
Acta1	chr8	FALSE	TRUE
Actb	chr5	TRUE	TRUE
Actbl2	chr13	TRUE	TRUE
Actg2	chr6	FALSE	TRUE
Actl10	chr2	FALSE	TRUE
Actl6a	chr3	TRUE	FALSE
Actl6b	chr5	TRUE	TRUE
Actn1	chr12	TRUE	FALSE
Actn4	chr7	FALSE	FALSE
Actr10	chr12	TRUE	FALSE
Actr1b	chr1	FALSE	FALSE
Actr2	chr11	TRUE	FALSE
Actr3	chr1	TRUE	FALSE
Actr3b	chr5	FALSE	FALSE
Actr8	chr14	FALSE	FALSE
Actrt3	chr3	FALSE	FALSE
Acvr1	chr2	FALSE	TRUE
Acvr1b	chr15	TRUE	FALSE
Acvr1c	chr2	TRUE	TRUE
Acvr2a	chr2	FALSE	FALSE
Acvr2b	chr9	FALSE	FALSE
Acy1	chr9	FALSE	TRUE
Acyp1	chr12	FALSE	FALSE
Acyp2	chr11	FALSE	TRUE
Ada	chr2	FALSE	TRUE
Adal	chr2	FALSE	FALSE
Adam10	chr9	TRUE	FALSE
Adam11	chr11	FALSE	TRUE
Adam15	chr3	FALSE	FALSE
Adam17	chr12	TRUE	TRUE
Adam19	chr11	FALSE	FALSE
Adam22	chr5	TRUE	FALSE
Adam23	chr1	FALSE	TRUE
Adam28	chr14	FALSE	FALSE
Adam30	chr3	FALSE	FALSE
Adam34	chr8	FALSE	TRUE
Adam7	chr14	FALSE	TRUE
Adam9	chr8	FALSE	FALSE
Adamts1	chr16	TRUE	FALSE
Adamts10	chr17	FALSE	TRUE
Adamts16	chr13	FALSE	FALSE
Adamts18	chr8	FALSE	TRUE
Adamts2	chr11	FALSE	FALSE
Adamts5	chr16	FALSE	FALSE
Adamts6	chr13	FALSE	TRUE
Adamts7	chr9	FALSE	FALSE
Adamtsl1	chr4	FALSE	FALSE
Adamtsl2	chr2	FALSE	FALSE
Adap1	chr5	FALSE	FALSE
Adar	chr3	FALSE	FALSE
Adarb1	chr10	TRUE	FALSE
Adat3	chr10	FALSE	FALSE
Adck1	chr12	FALSE	FALSE
Adck2	chr6	FALSE	TRUE
Adcy1	chr11	TRUE	TRUE
Adcy3	chr12	TRUE	FALSE
Adcy5	chr16	TRUE	TRUE
Adcy6	chr15	TRUE	FALSE
Adcy8	chr15	TRUE	TRUE
Adcy9	chr16	FALSE	FALSE
Adcyap1r1	chr6	FALSE	FALSE
Add1	chr5	FALSE	FALSE
Add2	chr6	TRUE	FALSE
Add3	chr19	FALSE	TRUE
Adgb	chr10	FALSE	FALSE
Adgra1	chr7	FALSE	FALSE
Adgra2	chr8	TRUE	FALSE
Adgra3	chr5	FALSE	TRUE
Adgrb1	chr15	TRUE	TRUE
Adgrb2	chr4	TRUE	FALSE
Adgrb3	chr1	TRUE	FALSE
Adgrg1	chr8	TRUE	FALSE
Adgrl1	chr8	TRUE	TRUE
Adgrl2	chr3	TRUE	FALSE
Adgrl3	chr5	TRUE	FALSE
Adgrl4	chr3	TRUE	TRUE
Adh5	chr3	FALSE	FALSE
Adi1	chr12	FALSE	FALSE
Adk	chr14	FALSE	TRUE
Adnp	chr2	TRUE	FALSE
Adnp2	chr18	TRUE	FALSE
Ado	chr10	FALSE	FALSE
Adora1	chr1	TRUE	FALSE
Adora2b	chr11	TRUE	FALSE
Adpgk	chr9	FALSE	TRUE
Adprh	chr16	FALSE	FALSE
Adprm	chr11	FALSE	TRUE
Adra1d	chr2	TRUE	FALSE
Adra2c	chr5	TRUE	FALSE
Adrb2	chr18	TRUE	TRUE
Adrm1	chr2	FALSE	FALSE
Aebp2	chr6	FALSE	TRUE
Afap1	chr5	FALSE	FALSE
Afap1l1	chr18	FALSE	TRUE
Afap1l2	chr19	FALSE	TRUE
Afdn	chr17	TRUE	TRUE
Aff1	chr5	FALSE	TRUE
Aff3	chr1	FALSE	FALSE
Afg1l	chr10	FALSE	FALSE
Afg3l1	chr8	FALSE	FALSE
Afg3l2	chr18	TRUE	FALSE
Aftph	chr11	FALSE	FALSE
Agap1	chr1	FALSE	TRUE
Agap2	chr10	TRUE	FALSE
