gene_name	chr	is_neuronal_and_mecp2_up	k119ub_remodeled
Auts2	chr5	FALSE	TRUE
Csmd2	chr4	FALSE	TRUE
Arhgap26	chr18	FALSE	TRUE
Rasgef1b	chr5	FALSE	FALSE
Lrrc49	chr9	FALSE	TRUE
Emcn	chr3	FALSE	TRUE
Slc13a1	chr6	FALSE	TRUE
Dpys	chr15	FALSE	TRUE
Fgf1	chr18	FALSE	TRUE
Runx1t1	chr4	FALSE	TRUE
Trpm3	chr19	FALSE	FALSE
Pcdh9	chr14	FALSE	TRUE
Cog5	chr12	FALSE	TRUE
Cadps	chr14	FALSE	FALSE
Zbbx	chr3	FALSE	TRUE
Col9a1	chr1	FALSE	TRUE
Gprin3	chr6	TRUE	TRUE
Maml3	chr3	FALSE	TRUE
Csrnp3	chr2	FALSE	TRUE
Nrxn1	chr17	FALSE	TRUE
Erbb4	chr1	FALSE	TRUE
Pcgf5	chr19	FALSE	FALSE
Tenm2	chr11	FALSE	TRUE
Enox1	chr14	FALSE	TRUE
Slc6a6	chr6	FALSE	FALSE
Zfp608	chr18	FALSE	TRUE
Cytip	chr2	FALSE	TRUE
Camta1	chr4	FALSE	FALSE
Lsamp	chr16	FALSE	TRUE
Ctnnd2	chr15	FALSE	TRUE
Patj	chr4	FALSE	TRUE
Btbd3	chr2	FALSE	TRUE
Tjp1	chr7	FALSE	TRUE
Tmem178b	chr6	FALSE	FALSE
Abr	chr11	FALSE	FALSE
Ephb1	chr9	FALSE	TRUE
Plekha6	chr1	FALSE	TRUE
Cerkl	chr2	FALSE	TRUE
Gabbr2	chr4	FALSE	TRUE
Tafa5	chr15	FALSE	TRUE
Gsg1l	chr7	FALSE	TRUE
Rnf157	chr11	FALSE	TRUE
Tgfbr3	chr5	FALSE	FALSE
Sema6d	chr2	FALSE	TRUE
Cacna1e	chr1	FALSE	TRUE
Msi2	chr11	FALSE	TRUE
Hgd	chr16	FALSE	TRUE
Dlgap4	chr2	FALSE	TRUE
Phex	chrX	FALSE	TRUE
Prkar2b	chr12	FALSE	FALSE
Afap1	chr5	FALSE	FALSE
Ephb2	chr4	FALSE	TRUE
Zbtb20	chr16	FALSE	TRUE
Lrrc4c	chr2	FALSE	TRUE
Megf11	chr9	FALSE	TRUE
Hdac9	chr12	FALSE	TRUE
Cmip	chr8	FALSE	TRUE
Ccdc192	chr18	FALSE	TRUE
Epha3	chr16	TRUE	TRUE
Snca	chr6	TRUE	TRUE
Cacna2d2	chr9	FALSE	TRUE
Pappa2	chr1	FALSE	TRUE
Arhgef38	chr3	FALSE	TRUE
Nos1	chr5	FALSE	FALSE
Lamb3	chr1	TRUE	TRUE
Fam107b	chr2	TRUE	TRUE
Nln	chr13	FALSE	FALSE
Zic4	chr9	TRUE	TRUE
Pag1	chr3	FALSE	TRUE
Fstl4	chr11	FALSE	TRUE
Opcml	chr9	FALSE	TRUE
Kcnq1	chr7	FALSE	TRUE
Heg1	chr16	FALSE	TRUE
Prkce	chr17	TRUE	FALSE
D430041D05Rik	chr2	FALSE	FALSE
Wdr25	chr12	FALSE	TRUE
Ncald	chr15	FALSE	TRUE
Igsf21	chr4	FALSE	TRUE
Med13l	chr5	FALSE	TRUE
Col27a1	chr4	FALSE	TRUE
Phactr3	chr2	FALSE	FALSE
Atxn1	chr13	FALSE	FALSE
Ttr	chr18	FALSE	TRUE
Clnk	chr5	FALSE	TRUE
Sez6	chr11	FALSE	TRUE
Akap6	chr12	FALSE	TRUE
Cntnap2	chr6	FALSE	FALSE
Bcas3	chr11	FALSE	TRUE
Nav3	chr10	TRUE	FALSE
Tmem150c	chr5	FALSE	FALSE
Ptprn2	chr12	FALSE	TRUE
Dip2b	chr15	FALSE	FALSE
Rab11fip4	chr11	FALSE	FALSE
Vwf	chr6	FALSE	TRUE
Anks1b	chr10	FALSE	TRUE
Slc35g2	chr9	FALSE	TRUE
Angpt1	chr15	FALSE	TRUE
Cacna1c	chr6	FALSE	TRUE
Pcdh7	chr5	FALSE	FALSE
Jph1	chr1	FALSE	TRUE
Acly	chr11	FALSE	TRUE
Vti1a	chr19	FALSE	FALSE
Gria1	chr11	TRUE	FALSE
Brpf3	chr17	FALSE	TRUE
Lrba	chr3	FALSE	FALSE
Fam135b	chr15	FALSE	FALSE
Ptk2	chr15	FALSE	TRUE
Dgkb	chr12	FALSE	TRUE
Lingo1	chr9	FALSE	TRUE
Nfib	chr4	FALSE	TRUE
Ssh2	chr11	FALSE	TRUE
Cnpy1	chr5	FALSE	TRUE
Svep1	chr4	FALSE	TRUE
Elmo1	chr13	FALSE	FALSE
Zbtb16	chr9	FALSE	TRUE
Foxp1	chr6	FALSE	FALSE
Plcb4	chr2	TRUE	FALSE
Ppp2r2b	chr18	FALSE	TRUE
Fgf20	chr8	FALSE	TRUE
Grik2	chr10	TRUE	FALSE
Gm973	chr1	FALSE	FALSE
Cux2	chr5	FALSE	FALSE
Kbtbd12	chr6	FALSE	TRUE
Shank2	chr7	FALSE	TRUE
Pde4b	chr4	FALSE	FALSE
Nfia	chr4	FALSE	TRUE
Grxcr1	chr5	FALSE	TRUE
Myo3b	chr2	TRUE	TRUE
Prune2	chr19	FALSE	TRUE
Pde10a	chr17	FALSE	FALSE
Mad1l1	chr5	FALSE	FALSE
Ptchd4	chr17	FALSE	TRUE
Klhl29	chr12	FALSE	TRUE
Ralgps1	chr2	FALSE	TRUE
Pex14	chr4	FALSE	TRUE
Ift57	chr16	FALSE	TRUE
Snph	chr2	FALSE	FALSE
Elp4	chr2	FALSE	TRUE
Dagla	chr19	FALSE	FALSE
Nkain3	chr4	FALSE	FALSE
Kctd8	chr5	FALSE	TRUE
Gtf3c1	chr7	FALSE	FALSE
Slc5a10	chr11	FALSE	TRUE
Ebf2	chr14	FALSE	TRUE
Sybu	chr15	TRUE	TRUE
Mamdc2	chr19	FALSE	FALSE
Sdk1	chr5	FALSE	FALSE
Prkca	chr11	FALSE	FALSE
Mark1	chr1	FALSE	TRUE
Galnt7	chr8	FALSE	TRUE
Celf4	chr18	FALSE	FALSE
Epha5	chr5	TRUE	TRUE
Foxn3	chr12	FALSE	FALSE
Psd3	chr8	FALSE	TRUE
Pcsk5	chr19	FALSE	FALSE
Asb15	chr6	FALSE	TRUE
Cep350	chr1	FALSE	FALSE
Prickle2	chr6	FALSE	FALSE
Npvf	chr6	FALSE	TRUE
Alk	chr17	FALSE	FALSE
Slc17a6	chr7	FALSE	FALSE
Prkcb	chr7	FALSE	TRUE
Adam22	chr5	FALSE	TRUE
