gene_name	chr	is_neuronal	three_plus_predicted
1110002E22Rik	chr3	FALSE	TRUE
1600014C10Rik	chr7	FALSE	TRUE
1700010I14Rik	chr17	FALSE	FALSE
1700012A03Rik	chr6	FALSE	FALSE
1700024G13Rik	chr14	FALSE	FALSE
1700025G04Rik	chr1	FALSE	TRUE
1700129C05Rik	chr14	FALSE	TRUE
4930453N24Rik	chr16	FALSE	FALSE
4930583I09Rik	chr17	FALSE	TRUE
4931429L15Rik	chr9	FALSE	TRUE
4933402J07Rik	chr8	FALSE	TRUE
5530401A14Rik	chr11	FALSE	FALSE
5730522E02Rik	chr11	FALSE	FALSE
7530416G11Rik	chr15	FALSE	FALSE
9430038I01Rik	chr7	FALSE	FALSE
A930004D18Rik	chr2	FALSE	FALSE
Aard	chr15	FALSE	TRUE
Abca1	chr4	FALSE	TRUE
Abca4	chr3	TRUE	TRUE
Abcc4	chr14	FALSE	FALSE
Abcd3	chr3	FALSE	FALSE
Abra	chr15	FALSE	TRUE
Abtb2	chr2	FALSE	FALSE
Acly	chr11	FALSE	FALSE
Aco1	chr4	FALSE	FALSE
Acot11	chr4	FALSE	TRUE
Actbl2	chr13	TRUE	TRUE
Acvr2a	chr2	FALSE	FALSE
Ada	chr2	FALSE	FALSE
Adam28	chr14	FALSE	FALSE
Adam7	chr14	FALSE	FALSE
Adamts1	chr16	TRUE	FALSE
Adamts16	chr13	FALSE	FALSE
Adamts2	chr11	FALSE	FALSE
Adamts5	chr16	FALSE	FALSE
Adamts6	chr13	FALSE	TRUE
Adamtsl1	chr4	FALSE	TRUE
Adamtsl2	chr2	FALSE	FALSE
Adcyap1r1	chr6	FALSE	FALSE
Adgra3	chr5	FALSE	FALSE
Adgrb1	chr15	TRUE	FALSE
Adgrb3	chr1	TRUE	FALSE
Adgrg1	chr8	TRUE	FALSE
Adgrl2	chr3	TRUE	FALSE
Adgrl4	chr3	TRUE	TRUE
Adora2b	chr11	TRUE	FALSE
Adra1d	chr2	TRUE	FALSE
Adra2c	chr5	TRUE	FALSE
Adrb2	chr18	TRUE	TRUE
Aebp2	chr6	FALSE	TRUE
Afap1	chr5	FALSE	FALSE
Aff1	chr5	FALSE	FALSE
Aff3	chr1	FALSE	FALSE
Agk	chr6	FALSE	FALSE
Ajap1	chr4	FALSE	FALSE
Ak5	chr3	FALSE	FALSE
Akain1	chr17	FALSE	FALSE
Akap1	chr11	FALSE	TRUE
Akap11	chr14	FALSE	FALSE
Aktip	chr8	FALSE	FALSE
Alcam	chr16	TRUE	FALSE
Aldh1l1	chr6	FALSE	FALSE
Allc	chr12	FALSE	TRUE
Amer2	chr14	FALSE	TRUE
Amotl1	chr9	FALSE	FALSE
Ampd3	chr7	FALSE	TRUE
Angpt1	chr15	TRUE	TRUE
Ank3	chr10	TRUE	FALSE
Ankrd44	chr1	FALSE	FALSE
Ankrd50	chr3	FALSE	TRUE
Anks6	chr4	FALSE	FALSE
Ano4	chr10	FALSE	FALSE
Ano5	chr7	FALSE	FALSE
Ap1ar	chr3	FALSE	FALSE
Ap1s3	chr1	FALSE	TRUE
Ap3b1	chr13	TRUE	TRUE
Apc	chr18	TRUE	FALSE
Aph1b	chr9	TRUE	TRUE
App	chr16	TRUE	FALSE
Aqp5	chr15	FALSE	TRUE
Arap3	chr18	FALSE	FALSE
Arhgap15	chr2	FALSE	TRUE
Arhgap23	chr11	FALSE	FALSE
Arhgap24	chr5	FALSE	FALSE
Arhgap27	chr11	FALSE	FALSE
Arhgef1	chr7	FALSE	FALSE
Arhgef10	chr8	TRUE	TRUE
Arhgef17	chr7	FALSE	FALSE
Arhgef3	chr14	FALSE	TRUE
Arhgef38	chr3	FALSE	TRUE
Arhgef4	chr1	FALSE	FALSE
Arid1b	chr17	TRUE	TRUE
Arl4a	chr12	FALSE	FALSE
Arl4c	chr1	FALSE	FALSE
Armc1	chr3	FALSE	TRUE
Arrdc3	chr13	FALSE	FALSE
Arsb	chr13	TRUE	TRUE
Asap1	chr15	TRUE	FALSE
Asb1	chr1	FALSE	FALSE
Asb5	chr8	FALSE	TRUE
Asic2	chr11	TRUE	FALSE
Astn1	chr1	TRUE	FALSE
Ate1	chr7	FALSE	FALSE
