gene_name	chr	is_synapse_and_mecp2_up	in_k119ub_top_decile
Auts2	chr5	FALSE	FALSE
Csmd2	chr4	FALSE	FALSE
Arhgap26	chr18	FALSE	TRUE
Rasgef1b	chr5	FALSE	FALSE
Lrrc49	chr9	FALSE	TRUE
Emcn	chr3	FALSE	TRUE
Slc13a1	chr6	FALSE	TRUE
Dpys	chr15	FALSE	FALSE
Fgf1	chr18	FALSE	FALSE
Runx1t1	chr4	FALSE	FALSE
Trpm3	chr19	FALSE	FALSE
Pcdh9	chr14	FALSE	TRUE
Cog5	chr12	FALSE	TRUE
Cadps	chr14	FALSE	FALSE
Zbbx	chr3	FALSE	TRUE
Col9a1	chr1	FALSE	FALSE
Gprin3	chr6	FALSE	FALSE
Maml3	chr3	FALSE	TRUE
Csrnp3	chr2	FALSE	TRUE
Nrxn1	chr17	FALSE	FALSE
Erbb4	chr1	FALSE	FALSE
Pcgf5	chr19	FALSE	FALSE
Tenm2	chr11	FALSE	FALSE
Enox1	chr14	FALSE	FALSE
Slc6a6	chr6	FALSE	FALSE
Zfp608	chr18	FALSE	FALSE
Cytip	chr2	FALSE	FALSE
Camta1	chr4	FALSE	FALSE
Lsamp	chr16	FALSE	FALSE
Ctnnd2	chr15	FALSE	FALSE
Patj	chr4	FALSE	TRUE
Btbd3	chr2	FALSE	TRUE
Tjp1	chr7	FALSE	FALSE
Tmem178b	chr6	FALSE	FALSE
Abr	chr11	FALSE	FALSE
Ephb1	chr9	FALSE	FALSE
Plekha6	chr1	FALSE	FALSE
Cerkl	chr2	FALSE	FALSE
Gabbr2	chr4	FALSE	FALSE
Tafa5	chr15	FALSE	FALSE
Gsg1l	chr7	FALSE	FALSE
Rnf157	chr11	FALSE	FALSE
Tgfbr3	chr5	FALSE	FALSE
Sema6d	chr2	FALSE	FALSE
Cacna1e	chr1	FALSE	FALSE
Msi2	chr11	FALSE	FALSE
Hgd	chr16	FALSE	TRUE
Dlgap4	chr2	FALSE	FALSE
Phex	chrX	FALSE	TRUE
Prkar2b	chr12	FALSE	FALSE
Afap1	chr5	FALSE	FALSE
Ephb2	chr4	FALSE	FALSE
Zbtb20	chr16	FALSE	TRUE
Lrrc4c	chr2	FALSE	FALSE
Megf11	chr9	FALSE	FALSE
Hdac9	chr12	FALSE	FALSE
Cmip	chr8	FALSE	FALSE
Ccdc192	chr18	FALSE	TRUE
Epha3	chr16	TRUE	FALSE
Snca	chr6	TRUE	FALSE
Cacna2d2	chr9	FALSE	FALSE
Pappa2	chr1	FALSE	FALSE
Arhgef38	chr3	FALSE	FALSE
Nos1	chr5	FALSE	FALSE
Lamb3	chr1	TRUE	TRUE
Fam107b	chr2	FALSE	FALSE
Nln	chr13	FALSE	FALSE
Zic4	chr9	FALSE	TRUE
Pag1	chr3	FALSE	FALSE
Fstl4	chr11	FALSE	FALSE
Opcml	chr9	FALSE	FALSE
Kcnq1	chr7	FALSE	FALSE
Heg1	chr16	FALSE	FALSE
Prkce	chr17	TRUE	FALSE
D430041D05Rik	chr2	FALSE	FALSE
Wdr25	chr12	FALSE	FALSE
Ncald	chr15	FALSE	TRUE
Igsf21	chr4	FALSE	FALSE
Med13l	chr5	FALSE	FALSE
Col27a1	chr4	FALSE	FALSE
Phactr3	chr2	FALSE	FALSE
Atxn1	chr13	FALSE	FALSE
Ttr	chr18	FALSE	TRUE
Clnk	chr5	FALSE	TRUE
Sez6	chr11	FALSE	FALSE
Akap6	chr12	FALSE	TRUE
Cntnap2	chr6	FALSE	FALSE
