gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Xkr4	ENSMUSG00000051951.5	chr1	3205900	3671498	-	protein_coding	465598	169498	2082627	42879
Rp1	ENSMUSG00000025900.13	chr1	3999556	4409241	-	protein_coding	409685	148607	1797560	27702
Sox17	ENSMUSG00000025902.13	chr1	4490930	4497354	-	protein_coding	6424	2681	29635	642
Mrpl15	ENSMUSG00000033845.13	chr1	4773205	4785739	-	protein_coding	12534	4995	63716	839
Lypla1	ENSMUSG00000025903.14	chr1	4807787	4848410	+	protein_coding	40623	15683	184945	2847
Gm37988	ENSMUSG00000104217.1	chr1	4807891	4886770	+	protein_coding	78879	30013	357864	5360
Tcea1	ENSMUSG00000033813.15	chr1	4857813	4897909	+	protein_coding	40096	14408	167280	2588
Rgs20	ENSMUSG00000002459.17	chr1	4909575	5070285	-	protein_coding	160710	61498	724366	13105
Atp6v1h	ENSMUSG00000033793.12	chr1	5070017	5162529	+	protein_coding	92512	33180	386074	5770
Oprk1	ENSMUSG00000025905.14	chr1	5588465	5606131	+	protein_coding	17666	6645	91946	1198
Npbwr1	ENSMUSG00000033774.4	chr1	5913706	5917398	-	protein_coding	3692	1502	21555	414
Rb1cc1	ENSMUSG00000025907.14	chr1	6206196	6276648	+	protein_coding	70452	25082	296998	4493
Alkal1	ENSMUSG00000087247.3	chr1	6359217	6394731	+	protein_coding	35514	13862	169203	3333
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	+	protein_coding	373710	136922	1595213	34807
Pcmtd1	ENSMUSG00000051285.17	chr1	7088919	7173628	+	protein_coding	84709	31229	392458	7047
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	-	protein_coding	938404	326844	3708272	58811
Rrs1	ENSMUSG00000061024.8	chr1	9545407	9547455	+	protein_coding	2048	887	16546	268
Adhfe1	ENSMUSG00000025911.14	chr1	9547947	9580673	+	protein_coding	32726	13205	183955	3448
Vxn	ENSMUSG00000067879.3	chr1	9601198	9627143	+	protein_coding	25945	10879	148983	4763
Mybl1	ENSMUSG00000025912.16	chr1	9667414	9700209	-	protein_coding	32795	11106	123982	2720
Vcpip1	ENSMUSG00000045210.8	chr1	9718621	9748382	-	protein_coding	29761	10257	109840	1990
Sgk3	ENSMUSG00000025915.14	chr1	9798106	9900845	+	protein_coding	102739	40227	508090	9219
Mcmdc2	ENSMUSG00000046101.16	chr1	9908637	9942085	+	protein_coding	33448	12857	161945	2471
Tcf24	ENSMUSG00000099032.2	chr1	9960162	9967932	-	protein_coding	7770	2921	38536	670
Ppp1r42	ENSMUSG00000025916.10	chr1	9968623	10009136	-	protein_coding	40513	15937	196798	2717
Cops5	ENSMUSG00000025917.9	chr1	10024600	10038168	-	protein_coding	13568	5194	70730	1307
Cspp1	ENSMUSG00000056763.16	chr1	10037986	10136768	+	protein_coding	98782	37497	454422	7248
Arfgef1	ENSMUSG00000067851.11	chr1	10137570	10232670	-	protein_coding	95100	35091	441219	6252
Cpa6	ENSMUSG00000042501.12	chr1	10324719	10719945	-	protein_coding	395226	148921	1800850	29250
Prex2	ENSMUSG00000048960.13	chr1	10993464	11303681	+	protein_coding	310217	114199	1470020	30901
A830018L16Rik	ENSMUSG00000057715.13	chr1	11414104	11975901	+	protein_coding	561797	194740	2305900	39970
Sulf1	ENSMUSG00000016918.15	chr1	12692276	12861192	+	protein_coding	168916	69069	955395	17776
Slco5a1	ENSMUSG00000025938.16	chr1	12866548	12992650	-	protein_coding	126102	50175	662074	11856
Prdm14	ENSMUSG00000042414.7	chr1	13113456	13127163	-	protein_coding	13707	5835	78575	1845
Ncoa2	ENSMUSG00000005886.14	chr1	13139104	13374083	-	protein_coding	234979	95280	1322756	26578
Tram1	ENSMUSG00000025935.10	chr1	13564697	13589910	-	protein_coding	25213	10374	142981	2457
Lactb2	ENSMUSG00000025937.6	chr1	13623329	13660546	-	protein_coding	37217	15128	197845	3364
Xkr9	ENSMUSG00000067813.3	chr1	13668770	13701723	+	protein_coding	32953	12579	143579	2469
Eya1	ENSMUSG00000025932.14	chr1	14168953	14310235	-	protein_coding	141282	55067	777275	23206
Msc	ENSMUSG00000025930.6	chr1	14753345	14755992	-	protein_coding	2647	1226	14072	238
Trpa1	ENSMUSG00000032769.5	chr1	14872647	14918862	-	protein_coding	46215	17052	239578	3531
Kcnb2	ENSMUSG00000092083.4	chr1	15287253	15723750	+	protein_coding	436497	165768	2185387	68121
Terf1	ENSMUSG00000025925.14	chr1	15805645	15844052	+	protein_coding	38407	14221	166380	2300
Sbspon	ENSMUSG00000032719.4	chr1	15853861	15892722	-	protein_coding	38861	15123	180748	3763
4930444P10Rik	ENSMUSG00000067795.13	chr1	16065978	16093325	-	protein_coding	27347	10100	118092	2562
