gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Xkr4	ENSMUSG00000051951.5	chr1	3205900	3671498	-	protein_coding	465598	171082	3023723	51996
Rp1	ENSMUSG00000025900.13	chr1	3999556	4409241	-	protein_coding	409685	149921	2591988	26882
Sox17	ENSMUSG00000025902.13	chr1	4490930	4497354	-	protein_coding	6424	2684	31532	365
Mrpl15	ENSMUSG00000033845.13	chr1	4773205	4785739	-	protein_coding	12534	4991	86536	1108
Lypla1	ENSMUSG00000025903.14	chr1	4807787	4848410	+	protein_coding	40623	15649	276370	3997
Gm37988	ENSMUSG00000104217.1	chr1	4807891	4886770	+	protein_coding	78879	30200	526471	6909
Tcea1	ENSMUSG00000033813.15	chr1	4857813	4897909	+	protein_coding	40096	14677	249761	3143
Rgs20	ENSMUSG00000002459.17	chr1	4909575	5070285	-	protein_coding	160710	62433	1012962	13990
Atp6v1h	ENSMUSG00000033793.12	chr1	5070017	5162529	+	protein_coding	92512	33416	581476	7427
Oprk1	ENSMUSG00000025905.14	chr1	5588465	5606131	+	protein_coding	17666	6662	122056	950
Npbwr1	ENSMUSG00000033774.4	chr1	5913706	5917398	-	protein_coding	3692	1538	22282	372
Rb1cc1	ENSMUSG00000025907.14	chr1	6206196	6276648	+	protein_coding	70452	25364	458848	5002
Alkal1	ENSMUSG00000087247.3	chr1	6359217	6394731	+	protein_coding	35514	13884	234103	5398
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	+	protein_coding	373710	138874	2414946	41444
Pcmtd1	ENSMUSG00000051285.17	chr1	7088919	7173628	+	protein_coding	84709	31493	575521	9016
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	-	protein_coding	938404	331422	5586902	67509
Rrs1	ENSMUSG00000061024.8	chr1	9545407	9547455	+	protein_coding	2048	884	15577	208
Adhfe1	ENSMUSG00000025911.14	chr1	9547947	9580673	+	protein_coding	32726	13238	236397	3466
Vxn	ENSMUSG00000067879.3	chr1	9601198	9627143	+	protein_coding	25945	11038	182787	5567
Mybl1	ENSMUSG00000025912.16	chr1	9667414	9700209	-	protein_coding	32795	11138	216096	3824
Vcpip1	ENSMUSG00000045210.8	chr1	9718621	9748382	-	protein_coding	29761	10310	179169	1989
Sgk3	ENSMUSG00000025915.14	chr1	9798106	9900845	+	protein_coding	102739	40665	692750	9735
Mcmdc2	ENSMUSG00000046101.16	chr1	9908637	9942085	+	protein_coding	33448	12859	233664	2929
Tcf24	ENSMUSG00000099032.2	chr1	9960162	9967932	-	protein_coding	7770	2900	53945	597
Ppp1r42	ENSMUSG00000025916.10	chr1	9968623	10009136	-	protein_coding	40513	16035	274846	3736
Cops5	ENSMUSG00000025917.9	chr1	10024600	10038168	-	protein_coding	13568	5211	99092	1117
Cspp1	ENSMUSG00000056763.16	chr1	10037986	10136768	+	protein_coding	98782	37565	666481	7751
Arfgef1	ENSMUSG00000067851.11	chr1	10137570	10232670	-	protein_coding	95100	35191	662773	7375
Cpa6	ENSMUSG00000042501.12	chr1	10324719	10719945	-	protein_coding	395226	150629	2519020	31682
Prex2	ENSMUSG00000048960.13	chr1	10993464	11303681	+	protein_coding	310217	114767	2048667	35431
A830018L16Rik	ENSMUSG00000057715.13	chr1	11414104	11975901	+	protein_coding	561797	197745	3363400	42648
Sulf1	ENSMUSG00000016918.15	chr1	12692276	12861192	+	protein_coding	168916	69469	1189798	20102
Slco5a1	ENSMUSG00000025938.16	chr1	12866548	12992650	-	protein_coding	126102	50632	874294	12973
Prdm14	ENSMUSG00000042414.7	chr1	13113456	13127163	-	protein_coding	13707	5865	96318	1405
Ncoa2	ENSMUSG00000005886.14	chr1	13139104	13374083	-	protein_coding	234979	95489	1701238	28457
Tram1	ENSMUSG00000025935.10	chr1	13564697	13589910	-	protein_coding	25213	10426	183081	2413
Lactb2	ENSMUSG00000025937.6	chr1	13623329	13660546	-	protein_coding	37217	15071	263050	3745
Xkr9	ENSMUSG00000067813.3	chr1	13668770	13701723	+	protein_coding	32953	12670	210443	3366
Eya1	ENSMUSG00000025932.14	chr1	14168953	14310235	-	protein_coding	141282	55340	1030278	29012
Msc	ENSMUSG00000025930.6	chr1	14753345	14755992	-	protein_coding	2647	1233	14840	350
Trpa1	ENSMUSG00000032769.5	chr1	14872647	14918862	-	protein_coding	46215	17214	337497	4593
Kcnb2	ENSMUSG00000092083.4	chr1	15287253	15723750	+	protein_coding	436497	167312	3019660	88611
Terf1	ENSMUSG00000025925.14	chr1	15805645	15844052	+	protein_coding	38407	14287	257941	3321
Sbspon	ENSMUSG00000032719.4	chr1	15853861	15892722	-	protein_coding	38861	15399	243921	4193
4930444P10Rik	ENSMUSG00000067795.13	chr1	16065978	16093325	-	protein_coding	27347	9923	156277	2483
Rpl7	ENSMUSG00000043716.13	chr1	16101294	16104662	-	protein_coding	3368	1363	26847	150
Rdh10	ENSMUSG00000025921.7	chr1	16105773	16133734	+	protein_coding	27961	11384	207202	3566
Stau2	ENSMUSG00000025920.19	chr1	16228673	16520112	-	protein_coding	291439	112411	1918587	28973
Ube2w	ENSMUSG00000025939.19	chr1	16540789	16619489	-	protein_coding	78700	30497	536005	6744
Eloc	ENSMUSG00000079658.9	chr1	16641724	16657042	-	protein_coding	15318	6001	113681	1338
Tmem70	ENSMUSG00000025940.6	chr1	16665206	16678275	+	protein_coding	13069	5078	89476	1194
Ly96	ENSMUSG00000025779.10	chr1	16688050	16709611	+	protein_coding	21561	8739	140169	1440
Jph1	ENSMUSG00000042686.5	chr1	16964559	17097889	-	protein_coding	133330	51706	892894	14929
Gdap1	ENSMUSG00000025777.8	chr1	17145361	17164271	+	protein_coding	18910	7108	124378	1998
Pi15	ENSMUSG00000067780.3	chr1	17601900	17630939	+	protein_coding	29039	10296	201549	2163
Crispld1	ENSMUSG00000025776.13	chr1	17727044	17766344	+	protein_coding	39300	14246	258182	2990
Crisp4	ENSMUSG00000025774.14	chr1	18115190	18145902	-	protein_coding	30712	10731	203492	2220
Defb18	ENSMUSG00000073735.1	chr1	18236472	18237443	-	protein_coding	971	306	6977	51
Defb41	ENSMUSG00000067773.6	chr1	18250979	18265138	-	protein_coding	14159	4851	80303	930
Tfap2d	ENSMUSG00000042596.7	chr1	19103021	19166346	+	protein_coding	63325	21628	363111	4830
Tfap2b	ENSMUSG00000025927.13	chr1	19208913	19238576	+	protein_coding	29663	11813	156103	2181
Pkhd1	ENSMUSG00000043760.16	chr1	20057778	20618064	-	protein_coding	560286	199338	3405138	41149
Il17a	ENSMUSG00000025929.4	chr1	20730904	20734496	+	protein_coding	3592	1333	23043	324
Il17f	ENSMUSG00000041872.9	chr1	20777145	20790617	-	protein_coding	13472	5393	87471	1082
Mcm3	ENSMUSG00000041859.10	chr1	20802967	20820312	-	protein_coding	17345	7494	124306	1674
Paqr8	ENSMUSG00000025931.15	chr1	20890605	20939650	+	protein_coding	49045	20484	328478	6632
Efhc1	ENSMUSG00000041809.5	chr1	20951625	20990841	+	protein_coding	39216	15700	271208	3737
Tram2	ENSMUSG00000041779.5	chr1	20996298	21079229	-	protein_coding	82931	36745	580679	13458
Tmem14a	ENSMUSG00000025933.15	chr1	21218574	21230167	+	protein_coding	11593	4954	82083	1729
Gsta3	ENSMUSG00000025934.15	chr1	21240588	21265661	+	protein_coding	25073	10235	173735	2665
Khdc1a	ENSMUSG00000067750.3	chr1	21349640	21352200	+	protein_coding	2560	1046	11948	209
Khdc1c	ENSMUSG00000041722.7	chr1	21368330	21370845	+	protein_coding	2515	955	11849	258
Khdc1b	ENSMUSG00000085079.3	chr1	21383555	21386373	+	protein_coding	2818	1214	18437	182
Kcnq5	ENSMUSG00000028033.16	chr1	21398402	21961942	-	protein_coding	563540	208177	3730031	70284
Rims1	ENSMUSG00000041670.17	chr1	22286250	22805994	-	protein_coding	519744	179019	3212875	48561
Ppp1r14bl	ENSMUSG00000073730.2	chr1	23100472	23102253	-	protein_coding	1781	755	12589	401
Ogfrl1	ENSMUSG00000026158.11	chr1	23366423	23397772	-	protein_coding	31349	12372	215928	2569
B3gat2	ENSMUSG00000026156.8	chr1	23761752	23849158	+	protein_coding	87406	34649	577375	12354
Smap1	ENSMUSG00000026155.13	chr1	23844845	23922317	-	protein_coding	77472	27168	479024	6869
Sdhaf4	ENSMUSG00000026154.4	chr1	23995938	24005656	-	protein_coding	9718	4071	69895	1131
Fam135a	ENSMUSG00000026153.15	chr1	24011092	24100341	-	protein_coding	89249	30556	560669	9388
Col9a1	ENSMUSG00000026147.16	chr1	24177609	24252684	+	protein_coding	75075	29351	534271	13700
Col19a1	ENSMUSG00000026141.13	chr1	24261889	24587472	-	protein_coding	325583	119489	2155176	52142
Lmbrd1	ENSMUSG00000073725.8	chr1	24678629	24766301	+	protein_coding	87672	32188	593923	7898
Adgrb3	ENSMUSG00000033569.17	chr1	25067475	25829707	-	protein_coding	762232	265033	4852905	88001
4931408C20Rik	ENSMUSG00000073722.3	chr1	26681813	26687460	-	protein_coding	5647	2542	95928	1302
Gm597	ENSMUSG00000048411.4	chr1	28776116	28780252	-	protein_coding	4136	1814	31234	378
Phf3	ENSMUSG00000048874.15	chr1	30802338	30873921	-	protein_coding	71583	24815	445866	5894
Ptp4a1	ENSMUSG00000026064.16	chr1	30940301	30949309	-	protein_coding	9008	3103	53195	470
Ptp4a1	ENSMUSG00000117310.2	chr1	30940301	30949770	-	protein_coding	9469	3320	53954	536
Gm5698	ENSMUSG00000117091.1	chr1	30977242	30977968	-	protein_coding	726	343	5375	30
4931428L18Rik	ENSMUSG00000086727.8	chr1	30997841	31222684	-	protein_coding	224843	84262	1440689	22605
Lgsn	ENSMUSG00000050217.13	chr1	31176400	31204725	+	protein_coding	28325	10543	183749	3244
Pih1d3	ENSMUSG00000026063.4	chr1	31222837	31224288	+	protein_coding	1451	511	10642	136
Khdrbs2	ENSMUSG00000026058.11	chr1	32172713	32658568	+	protein_coding	485855	173630	3103818	59101
Gm5415	ENSMUSG00000091318.2	chr1	32543685	32547294	-	protein_coding	3609	1270	16368	159
Prim2	ENSMUSG00000026134.11	chr1	33453809	33669795	-	protein_coding	215986	85927	1531530	24953
Rab23	ENSMUSG00000004768.14	chr1	33719886	33742564	+	protein_coding	22678	9610	169591	2636
Bag2	ENSMUSG00000042215.8	chr1	33745483	33757795	-	protein_coding	12312	5257	89654	2039
Zfp451	ENSMUSG00000042197.13	chr1	33761544	33814595	-	protein_coding	53051	20862	381052	5418
Bend6	ENSMUSG00000042182.16	chr1	33852051	33907816	-	protein_coding	55765	21925	385354	6566
Dst	ENSMUSG00000026131.20	chr1	33908224	34308661	+	protein_coding	400437	162568	2812807	47007
Ccdc115	ENSMUSG00000042111.9	chr1	34436669	34439672	-	protein_coding	3003	1335	16762	146
Imp4	ENSMUSG00000026127.13	chr1	34439850	34449356	+	protein_coding	9506	4172	67010	759
Ptpn18	ENSMUSG00000026126.15	chr1	34459761	34475733	+	protein_coding	15972	7142	103545	2535
Prss39	ENSMUSG00000026125.9	chr1	34498409	34503063	+	protein_coding	4654	2333	29167	736
Cfc1	ENSMUSG00000026124.4	chr1	34535647	34544313	+	protein_coding	8666	3912	58652	1934
Prss40	ENSMUSG00000037529.13	chr1	34543967	34560943	-	protein_coding	16976	7786	113189	2381
Amer3	ENSMUSG00000045174.10	chr1	34579656	34590944	+	protein_coding	11288	5297	69788	785
Arhgef4	ENSMUSG00000037509.21	chr1	34678187	34813309	+	protein_coding	135122	59278	939993	19280
Arhgef4	ENSMUSG00000118272.1	chr1	34801793	34801964	+	protein_coding	171	87	660	20
Fam168b	ENSMUSG00000037503.12	chr1	34813218	34843065	-	protein_coding	29847	12971	214599	2363
Plekhb2	ENSMUSG00000026123.11	chr1	34849975	34879580	+	protein_coding	29605	12993	202865	2491
Hs6st1	ENSMUSG00000045216.7	chr1	36068399	36106446	+	protein_coding	38047	18399	249761	4401
Uggt1	ENSMUSG00000037470.14	chr1	36140026	36244720	-	protein_coding	104694	43206	756797	9469
Neurl3	ENSMUSG00000047180.8	chr1	36264596	36274679	-	protein_coding	10083	4821	67536	2552
Arid5a	ENSMUSG00000037447.16	chr1	36307732	36324029	+	protein_coding	16297	8235	108618	2615
Kansl3	ENSMUSG00000010453.12	chr1	36335729	36369181	-	protein_coding	33452	14407	232011	3162
Fer1l5	ENSMUSG00000037432.15	chr1	36372290	36422110	+	protein_coding	49820	23167	326126	6822
Lman2l	ENSMUSG00000001143.13	chr1	36419870	36445271	-	protein_coding	25401	11316	178909	2284
Cnnm4	ENSMUSG00000037408.10	chr1	36471619	36508764	+	protein_coding	37145	17077	249351	4603
Cnnm3	ENSMUSG00000001138.13	chr1	36511866	36528237	+	protein_coding	16371	7803	108114	1960
Ankrd23	ENSMUSG00000067653.12	chr1	36530187	36536883	-	protein_coding	6696	3373	46655	843
Gm42417	ENSMUSG00000109510.1	chr1	36530192	36539429	-	protein_coding	9237	4488	68121	1207
Ankrd39	ENSMUSG00000079610.9	chr1	36537506	36547445	-	protein_coding	9939	4480	67513	1595
Sema4c	ENSMUSG00000026121.13	chr1	36548638	36558349	-	protein_coding	9711	4892	49730	629
Fam178b	ENSMUSG00000046337.17	chr1	36562691	36683183	-	protein_coding	120492	56296	831315	27454
Cox5b	ENSMUSG00000061518.11	chr1	36691448	36693681	+	protein_coding	2233	966	15713	59
Actr1b	ENSMUSG00000037351.9	chr1	36698113	36714422	-	protein_coding	16309	7622	95286	1156
4933424G06Rik	ENSMUSG00000102416.4	chr1	36710148	36757953	+	protein_coding	47805	20306	310035	5173
Zap70	ENSMUSG00000026117.10	chr1	36761797	36782818	+	protein_coding	21021	9998	137282	2653
Tmem131	ENSMUSG00000026116.11	chr1	36792190	36943666	-	protein_coding	151476	62712	1136027	24210
Vwa3b	ENSMUSG00000050122.19	chr1	37026595	37187613	+	protein_coding	161018	68293	1107960	18460
Cnga3	ENSMUSG00000026114.14	chr1	37214433	37263384	+	protein_coding	48951	21735	336271	7499
Inpp4a	ENSMUSG00000026113.17	chr1	37299864	37410736	+	protein_coding	110872	50623	787042	15033
Coa5	ENSMUSG00000026112.7	chr1	37417083	37430103	-	protein_coding	13020	5397	93789	1429
Unc50	ENSMUSG00000026111.15	chr1	37430138	37439124	+	protein_coding	8986	3673	67916	785
Mgat4a	ENSMUSG00000026110.15	chr1	37439339	37541016	-	protein_coding	101677	42715	732818	16337
2010300C02Rik	ENSMUSG00000026090.16	chr1	37611676	37720085	-	protein_coding	108409	48031	770859	18524
Tsga10	ENSMUSG00000060771.15	chr1	37754775	37866429	-	protein_coding	111654	41795	702591	9389
Lipt1	ENSMUSG00000037216.5	chr1	37871737	37876228	+	protein_coding	4491	1746	32349	425
Mitd1	ENSMUSG00000026088.15	chr1	37874800	37890411	-	protein_coding	15611	6478	113838	1129
Mrpl30	ENSMUSG00000026087.11	chr1	37890476	37898535	+	protein_coding	8059	3288	65521	889
Lyg2	ENSMUSG00000061584.6	chr1	37905922	37916493	-	protein_coding	10571	4408	68596	751
Lyg1	ENSMUSG00000026085.11	chr1	37946735	37957759	-	protein_coding	11024	4815	81172	758
Txndc9	ENSMUSG00000058407.12	chr1	37985188	37997893	-	protein_coding	12705	5154	85904	838
Eif5b	ENSMUSG00000026083.12	chr1	37998009	38055579	+	protein_coding	57570	22607	408733	4789
Rev1	ENSMUSG00000026082.11	chr1	38052785	38129801	-	protein_coding	77016	28980	532743	6147
Aff3	ENSMUSG00000037138.18	chr1	38177325	38664955	-	protein_coding	487630	203397	3731801	151141
Lonrf2	ENSMUSG00000048814.11	chr1	38793644	38836711	-	protein_coding	43067	17491	314294	4108
Chst10	ENSMUSG00000026080.13	chr1	38863866	38898161	-	protein_coding	34295	15374	236085	4494
Nms	ENSMUSG00000067604.8	chr1	38939148	38950276	+	protein_coding	11128	4665	79971	1794
Pdcl3	ENSMUSG00000026078.10	chr1	38985607	38997238	+	protein_coding	11631	5009	77623	1104
Npas2	ENSMUSG00000026077.15	chr1	39193730	39363236	+	protein_coding	169506	73740	1212560	21598
Rpl31	ENSMUSG00000073702.11	chr1	39367841	39371911	+	protein_coding	4070	1736	27427	391
Tbc1d8	ENSMUSG00000003134.10	chr1	39371491	39478755	-	protein_coding	107264	47687	769319	14519
Cnot11	ENSMUSG00000003135.15	chr1	39534991	39546889	+	protein_coding	11898	4979	79175	853
Rnf149	ENSMUSG00000048234.13	chr1	39551295	39577405	-	protein_coding	26110	10143	178615	2716
Creg2	ENSMUSG00000050967.5	chr1	39618405	39651474	-	protein_coding	33069	14119	236407	5107
Rfx8	ENSMUSG00000057173.8	chr1	39665300	39720997	-	protein_coding	55697	25358	400161	10433
Gm3646	ENSMUSG00000091937.3	chr1	39804147	39805332	-	protein_coding	1185	490	7576	341
Map4k4	ENSMUSG00000026074.15	chr1	39900912	40026310	+	protein_coding	125398	53548	890682	15732
Il1r2	ENSMUSG00000026073.13	chr1	40074078	40125231	+	protein_coding	51153	21982	350920	6163
Il1r1	ENSMUSG00000026072.12	chr1	40225079	40317257	+	protein_coding	92178	37857	622715	12281
Il1rl2	ENSMUSG00000070942.8	chr1	40324609	40367562	+	protein_coding	42953	17381	288427	3778
Il1rl1	ENSMUSG00000026069.15	chr1	40429569	40465415	+	protein_coding	35846	14076	234237	2883
