gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Xkr4	ENSMUSG00000051951.5	chr1	3205900	3671498	-	protein_coding	465598	170950	2797760	64054
Rp1	ENSMUSG00000025900.13	chr1	3999556	4409241	-	protein_coding	409685	149690	2378705	38896
Sox17	ENSMUSG00000025902.13	chr1	4490930	4497354	-	protein_coding	6424	2684	32910	584
Mrpl15	ENSMUSG00000033845.13	chr1	4773205	4785739	-	protein_coding	12534	4999	81380	1243
Lypla1	ENSMUSG00000025903.14	chr1	4807787	4848410	+	protein_coding	40623	15587	255784	4598
Gm37988	ENSMUSG00000104217.1	chr1	4807891	4886770	+	protein_coding	78879	30095	493843	9350
Tcea1	ENSMUSG00000033813.15	chr1	4857813	4897909	+	protein_coding	40096	14623	234846	4553
Rgs20	ENSMUSG00000002459.17	chr1	4909575	5070285	-	protein_coding	160710	62090	954485	17590
Atp6v1h	ENSMUSG00000033793.12	chr1	5070017	5162529	+	protein_coding	92512	33391	528000	8934
Oprk1	ENSMUSG00000025905.14	chr1	5588465	5606131	+	protein_coding	17666	6655	115127	1848
Npbwr1	ENSMUSG00000033774.4	chr1	5913706	5917398	-	protein_coding	3692	1532	23765	490
Rb1cc1	ENSMUSG00000025907.14	chr1	6206196	6276648	+	protein_coding	70452	25179	415084	7155
Alkal1	ENSMUSG00000087247.3	chr1	6359217	6394731	+	protein_coding	35514	13857	221383	5221
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	+	protein_coding	373710	137989	2263821	64003
Pcmtd1	ENSMUSG00000051285.17	chr1	7088919	7173628	+	protein_coding	84709	31426	532389	10689
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	-	protein_coding	938404	330813	5127060	86170
Rrs1	ENSMUSG00000061024.8	chr1	9545407	9547455	+	protein_coding	2048	887	16434	426
Adhfe1	ENSMUSG00000025911.14	chr1	9547947	9580673	+	protein_coding	32726	13264	222418	4033
Vxn	ENSMUSG00000067879.3	chr1	9601198	9627143	+	protein_coding	25945	10979	178490	5589
Mybl1	ENSMUSG00000025912.16	chr1	9667414	9700209	-	protein_coding	32795	11062	190919	4686
Vcpip1	ENSMUSG00000045210.8	chr1	9718621	9748382	-	protein_coding	29761	10239	159050	3024
Sgk3	ENSMUSG00000025915.14	chr1	9798106	9900845	+	protein_coding	102739	40609	668189	13201
Mcmdc2	ENSMUSG00000046101.16	chr1	9908637	9942085	+	protein_coding	33448	12852	215708	3236
Tcf24	ENSMUSG00000099032.2	chr1	9960162	9967932	-	protein_coding	7770	2912	50294	1015
Ppp1r42	ENSMUSG00000025916.10	chr1	9968623	10009136	-	protein_coding	40513	16062	269153	5156
Cops5	ENSMUSG00000025917.9	chr1	10024600	10038168	-	protein_coding	13568	5211	94301	1786
Cspp1	ENSMUSG00000056763.16	chr1	10037986	10136768	+	protein_coding	98782	37452	622701	10223
Arfgef1	ENSMUSG00000067851.11	chr1	10137570	10232670	-	protein_coding	95100	35236	604426	10157
Cpa6	ENSMUSG00000042501.12	chr1	10324719	10719945	-	protein_coding	395226	150320	2362531	41647
Prex2	ENSMUSG00000048960.13	chr1	10993464	11303681	+	protein_coding	310217	114729	1921096	45047
A830018L16Rik	ENSMUSG00000057715.13	chr1	11414104	11975901	+	protein_coding	561797	196958	3121171	58024
Sulf1	ENSMUSG00000016918.15	chr1	12692276	12861192	+	protein_coding	168916	69415	1156053	22680
Slco5a1	ENSMUSG00000025938.16	chr1	12866548	12992650	-	protein_coding	126102	50465	841370	17375
Prdm14	ENSMUSG00000042414.7	chr1	13113456	13127163	-	protein_coding	13707	5857	97327	1917
Ncoa2	ENSMUSG00000005886.14	chr1	13139104	13374083	-	protein_coding	234979	95493	1656378	32324
Tram1	ENSMUSG00000025935.10	chr1	13564697	13589910	-	protein_coding	25213	10430	180473	2786
Lactb2	ENSMUSG00000025937.6	chr1	13623329	13660546	-	protein_coding	37217	15097	257512	4965
