gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Xkr4	ENSMUSG00000051951.5	chr1	3205900	3671498	-	protein_coding	465598	66972	1352326	31114
Rp1	ENSMUSG00000025900.13	chr1	3999556	4409241	-	protein_coding	409685	57730	1158709	11045
Sox17	ENSMUSG00000025902.13	chr1	4490930	4497354	-	protein_coding	6424	796	12546	164
Mrpl15	ENSMUSG00000033845.13	chr1	4773205	4785739	-	protein_coding	12534	1813	36777	493
Lypla1	ENSMUSG00000025903.14	chr1	4807787	4848410	+	protein_coding	40623	5765	118296	1683
Gm37988	ENSMUSG00000104217.1	chr1	4807891	4886770	+	protein_coding	78879	11085	226608	3082
Tcea1	ENSMUSG00000033813.15	chr1	4857813	4897909	+	protein_coding	40096	5436	108304	1296
Rgs20	ENSMUSG00000002459.17	chr1	4909575	5070285	-	protein_coding	160710	23083	453789	7049
Atp6v1h	ENSMUSG00000033793.12	chr1	5070017	5162529	+	protein_coding	92512	12549	248842	3188
Oprk1	ENSMUSG00000025905.14	chr1	5588465	5606131	+	protein_coding	17666	2691	56660	569
Npbwr1	ENSMUSG00000033774.4	chr1	5913706	5917398	-	protein_coding	3692	542	9306	142
Rb1cc1	ENSMUSG00000025907.14	chr1	6206196	6276648	+	protein_coding	70452	9899	204211	2704
Alkal1	ENSMUSG00000087247.3	chr1	6359217	6394731	+	protein_coding	35514	5146	105834	2869
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	+	protein_coding	373710	53587	1081278	26464
Pcmtd1	ENSMUSG00000051285.17	chr1	7088919	7173628	+	protein_coding	84709	12212	262417	5079
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	-	protein_coding	938404	127474	2501023	26219
Rrs1	ENSMUSG00000061024.8	chr1	9545407	9547455	+	protein_coding	2048	258	5020	56
Adhfe1	ENSMUSG00000025911.14	chr1	9547947	9580673	+	protein_coding	32726	5105	107729	1668
Vxn	ENSMUSG00000067879.3	chr1	9601198	9627143	+	protein_coding	25945	3989	82042	4108
Mybl1	ENSMUSG00000025912.16	chr1	9667414	9700209	-	protein_coding	32795	4327	91620	2346
Vcpip1	ENSMUSG00000045210.8	chr1	9718621	9748382	-	protein_coding	29761	4028	80569	1134
Sgk3	ENSMUSG00000025915.14	chr1	9798106	9900845	+	protein_coding	102739	15154	307670	5784
Mcmdc2	ENSMUSG00000046101.16	chr1	9908637	9942085	+	protein_coding	33448	4981	105293	1312
Tcf24	ENSMUSG00000099032.2	chr1	9960162	9967932	-	protein_coding	7770	1086	24030	433
Ppp1r42	ENSMUSG00000025916.10	chr1	9968623	10009136	-	protein_coding	40513	6181	122886	1906
Cops5	ENSMUSG00000025917.9	chr1	10024600	10038168	-	protein_coding	13568	1968	43233	249
Cspp1	ENSMUSG00000056763.16	chr1	10037986	10136768	+	protein_coding	98782	14178	288453	3554
Arfgef1	ENSMUSG00000067851.11	chr1	10137570	10232670	-	protein_coding	95100	13663	291032	3129
Cpa6	ENSMUSG00000042501.12	chr1	10324719	10719945	-	protein_coding	395226	56868	1119883	13895
Prex2	ENSMUSG00000048960.13	chr1	10993464	11303681	+	protein_coding	310217	44190	919613	20969
A830018L16Rik	ENSMUSG00000057715.13	chr1	11414104	11975901	+	protein_coding	561797	76223	1515720	22106
Sulf1	ENSMUSG00000016918.15	chr1	12692276	12861192	+	protein_coding	168916	25639	519649	10787
Slco5a1	ENSMUSG00000025938.16	chr1	12866548	12992650	-	protein_coding	126102	19174	386271	6477
Prdm14	ENSMUSG00000042414.7	chr1	13113456	13127163	-	protein_coding	13707	2146	42903	876
