gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Xkr4	ENSMUSG00000051951.5	chr1	3205900	3671498	-	protein_coding	465598	67226	2542037	56403
Rp1	ENSMUSG00000025900.13	chr1	3999556	4409241	-	protein_coding	409685	58039	2339755	23277
Sox17	ENSMUSG00000025902.13	chr1	4490930	4497354	-	protein_coding	6424	796	24107	254
Mrpl15	ENSMUSG00000033845.13	chr1	4773205	4785739	-	protein_coding	12534	1814	64286	630
Lypla1	ENSMUSG00000025903.14	chr1	4807787	4848410	+	protein_coding	40623	5775	223530	2876
Gm37988	ENSMUSG00000104217.1	chr1	4807891	4886770	+	protein_coding	78879	11099	421449	5204
Tcea1	ENSMUSG00000033813.15	chr1	4857813	4897909	+	protein_coding	40096	5464	198339	2275
Rgs20	ENSMUSG00000002459.17	chr1	4909575	5070285	-	protein_coding	160710	23218	852762	11527
Atp6v1h	ENSMUSG00000033793.12	chr1	5070017	5162529	+	protein_coding	92512	12747	454720	4957
Oprk1	ENSMUSG00000025905.14	chr1	5588465	5606131	+	protein_coding	17666	2693	110456	962
Npbwr1	ENSMUSG00000033774.4	chr1	5913706	5917398	-	protein_coding	3692	542	18831	246
Rb1cc1	ENSMUSG00000025907.14	chr1	6206196	6276648	+	protein_coding	70452	9947	372372	3738
Alkal1	ENSMUSG00000087247.3	chr1	6359217	6394731	+	protein_coding	35514	5148	197055	4729
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	+	protein_coding	373710	53891	2039040	70533
Pcmtd1	ENSMUSG00000051285.17	chr1	7088919	7173628	+	protein_coding	84709	12120	469911	7384
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	-	protein_coding	938404	128374	4991035	50101
Rrs1	ENSMUSG00000061024.8	chr1	9545407	9547455	+	protein_coding	2048	258	10071	174
Adhfe1	ENSMUSG00000025911.14	chr1	9547947	9580673	+	protein_coding	32726	5130	199503	2946
Vxn	ENSMUSG00000067879.3	chr1	9601198	9627143	+	protein_coding	25945	3989	146515	6620
Mybl1	ENSMUSG00000025912.16	chr1	9667414	9700209	-	protein_coding	32795	4327	170792	4259
Vcpip1	ENSMUSG00000045210.8	chr1	9718621	9748382	-	protein_coding	29761	4043	141509	2100
Sgk3	ENSMUSG00000025915.14	chr1	9798106	9900845	+	protein_coding	102739	15162	577092	9643
Mcmdc2	ENSMUSG00000046101.16	chr1	9908637	9942085	+	protein_coding	33448	5011	195325	1965
Tcf24	ENSMUSG00000099032.2	chr1	9960162	9967932	-	protein_coding	7770	1089	45616	705
Ppp1r42	ENSMUSG00000025916.10	chr1	9968623	10009136	-	protein_coding	40513	6223	234391	2881
Cops5	ENSMUSG00000025917.9	chr1	10024600	10038168	-	protein_coding	13568	1968	80094	865
Cspp1	ENSMUSG00000056763.16	chr1	10037986	10136768	+	protein_coding	98782	14210	539567	5501
Arfgef1	ENSMUSG00000067851.11	chr1	10137570	10232670	-	protein_coding	95100	13684	537331	5505
Cpa6	ENSMUSG00000042501.12	chr1	10324719	10719945	-	protein_coding	395226	57143	2216074	30257
Prex2	ENSMUSG00000048960.13	chr1	10993464	11303681	+	protein_coding	310217	44390	1829974	51268
A830018L16Rik	ENSMUSG00000057715.13	chr1	11414104	11975901	+	protein_coding	561797	76819	3029427	42506
Sulf1	ENSMUSG00000016918.15	chr1	12692276	12861192	+	protein_coding	168916	25868	1010571	21708
Slco5a1	ENSMUSG00000025938.16	chr1	12866548	12992650	-	protein_coding	126102	19212	746576	13831
Prdm14	ENSMUSG00000042414.7	chr1	13113456	13127163	-	protein_coding	13707	2146	78923	1427
Ncoa2	ENSMUSG00000005886.14	chr1	13139104	13374083	-	protein_coding	234979	35936	1369879	22469
Tram1	ENSMUSG00000025935.10	chr1	13564697	13589910	-	protein_coding	25213	3802	149338	1739
Lactb2	ENSMUSG00000025937.6	chr1	13623329	13660546	-	protein_coding	37217	5579	221905	3115
Xkr9	ENSMUSG00000067813.3	chr1	13668770	13701723	+	protein_coding	32953	4736	178016	3333
Eya1	ENSMUSG00000025932.14	chr1	14168953	14310235	-	protein_coding	141282	21328	907065	49764
Msc	ENSMUSG00000025930.6	chr1	14753345	14755992	-	protein_coding	2647	390	13331	681
