gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Xkr4	ENSMUSG00000051951.5	chr1	3205900	3671498	-	protein_coding	465598	66331	869691	21952
Rp1	ENSMUSG00000025900.13	chr1	3999556	4409241	-	protein_coding	409685	57289	755413	9547
Sox17	ENSMUSG00000025902.13	chr1	4490930	4497354	-	protein_coding	6424	796	9368	184
Mrpl15	ENSMUSG00000033845.13	chr1	4773205	4785739	-	protein_coding	12534	1811	24009	297
Lypla1	ENSMUSG00000025903.14	chr1	4807787	4848410	+	protein_coding	40623	5765	73502	1084
Gm37988	ENSMUSG00000104217.1	chr1	4807891	4886770	+	protein_coding	78879	11058	141684	1976
Tcea1	ENSMUSG00000033813.15	chr1	4857813	4897909	+	protein_coding	40096	5390	66553	898
Rgs20	ENSMUSG00000002459.17	chr1	4909575	5070285	-	protein_coding	160710	22810	290680	5366
Atp6v1h	ENSMUSG00000033793.12	chr1	5070017	5162529	+	protein_coding	92512	12448	153447	2167
Oprk1	ENSMUSG00000025905.14	chr1	5588465	5606131	+	protein_coding	17666	2680	39207	459
Npbwr1	ENSMUSG00000033774.4	chr1	5913706	5917398	-	protein_coding	3692	519	7860	134
Rb1cc1	ENSMUSG00000025907.14	chr1	6206196	6276648	+	protein_coding	70452	9771	121673	1752
Alkal1	ENSMUSG00000087247.3	chr1	6359217	6394731	+	protein_coding	35514	5131	68353	1810
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	+	protein_coding	373710	53042	664148	17864
Pcmtd1	ENSMUSG00000051285.17	chr1	7088919	7173628	+	protein_coding	84709	12010	159734	3317
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	-	protein_coding	938404	126036	1544292	20790
Rrs1	ENSMUSG00000061024.8	chr1	9545407	9547455	+	protein_coding	2048	258	4984	74
Adhfe1	ENSMUSG00000025911.14	chr1	9547947	9580673	+	protein_coding	32726	5057	75492	1508
Vxn	ENSMUSG00000067879.3	chr1	9601198	9627143	+	protein_coding	25945	3952	58365	2913
Mybl1	ENSMUSG00000025912.16	chr1	9667414	9700209	-	protein_coding	32795	4318	50464	1412
Vcpip1	ENSMUSG00000045210.8	chr1	9718621	9748382	-	protein_coding	29761	4037	43951	860
Sgk3	ENSMUSG00000025915.14	chr1	9798106	9900845	+	protein_coding	102739	15021	204521	4097
Mcmdc2	ENSMUSG00000046101.16	chr1	9908637	9942085	+	protein_coding	33448	4988	66401	999
Tcf24	ENSMUSG00000099032.2	chr1	9960162	9967932	-	protein_coding	7770	1090	14981	287
Ppp1r42	ENSMUSG00000025916.10	chr1	9968623	10009136	-	protein_coding	40513	6165	80594	1238
Cops5	ENSMUSG00000025917.9	chr1	10024600	10038168	-	protein_coding	13568	1961	28019	455
Cspp1	ENSMUSG00000056763.16	chr1	10037986	10136768	+	protein_coding	98782	14148	184240	2847
Arfgef1	ENSMUSG00000067851.11	chr1	10137570	10232670	-	protein_coding	95100	13588	180539	2352
Cpa6	ENSMUSG00000042501.12	chr1	10324719	10719945	-	protein_coding	395226	56294	736702	11179
Prex2	ENSMUSG00000048960.13	chr1	10993464	11303681	+	protein_coding	310217	43940	605431	15554
A830018L16Rik	ENSMUSG00000057715.13	chr1	11414104	11975901	+	protein_coding	561797	75399	964737	16767
Sulf1	ENSMUSG00000016918.15	chr1	12692276	12861192	+	protein_coding	168916	25524	377276	8548
Slco5a1	ENSMUSG00000025938.16	chr1	12866548	12992650	-	protein_coding	126102	19095	268881	5134
Prdm14	ENSMUSG00000042414.7	chr1	13113456	13127163	-	protein_coding	13707	2141	30259	784
Ncoa2	ENSMUSG00000005886.14	chr1	13139104	13374083	-	protein_coding	234979	35682	529276	12847
Tram1	ENSMUSG00000025935.10	chr1	13564697	13589910	-	protein_coding	25213	3779	56376	953
Lactb2	ENSMUSG00000025937.6	chr1	13623329	13660546	-	protein_coding	37217	5577	78789	1428
Xkr9	ENSMUSG00000067813.3	chr1	13668770	13701723	+	protein_coding	32953	4689	56912	1071
Eya1	ENSMUSG00000025932.14	chr1	14168953	14310235	-	protein_coding	141282	21268	317367	14063
Msc	ENSMUSG00000025930.6	chr1	14753345	14755992	-	protein_coding	2647	388	4720	148
Trpa1	ENSMUSG00000032769.5	chr1	14872647	14918862	-	protein_coding	46215	6746	100814	1399
Kcnb2	ENSMUSG00000092083.4	chr1	15287253	15723750	+	protein_coding	436497	63546	899702	41529
Terf1	ENSMUSG00000025925.14	chr1	15805645	15844052	+	protein_coding	38407	5288	65540	905
Sbspon	ENSMUSG00000032719.4	chr1	15853861	15892722	-	protein_coding	38861	5547	70971	1770
4930444P10Rik	ENSMUSG00000067795.13	chr1	16065978	16093325	-	protein_coding	27347	3770	47823	1104
Rpl7	ENSMUSG00000043716.13	chr1	16101294	16104662	-	protein_coding	3368	488	6184	113
Rdh10	ENSMUSG00000025921.7	chr1	16105773	16133734	+	protein_coding	27961	4227	63025	1890
Stau2	ENSMUSG00000025920.19	chr1	16228673	16520112	-	protein_coding	291439	42114	548962	10943
Ube2w	ENSMUSG00000025939.19	chr1	16540789	16619489	-	protein_coding	78700	11494	148467	2417
Eloc	ENSMUSG00000079658.9	chr1	16641724	16657042	-	protein_coding	15318	2235	31814	586
Tmem70	ENSMUSG00000025940.6	chr1	16665206	16678275	+	protein_coding	13069	1827	24278	359
Ly96	ENSMUSG00000025779.10	chr1	16688050	16709611	+	protein_coding	21561	3167	41814	626
Jph1	ENSMUSG00000042686.5	chr1	16964559	17097889	-	protein_coding	133330	19263	241638	6073
Gdap1	ENSMUSG00000025777.8	chr1	17145361	17164271	+	protein_coding	18910	2654	34148	888
Pi15	ENSMUSG00000067780.3	chr1	17601900	17630939	+	protein_coding	29039	4136	57240	1012
Crispld1	ENSMUSG00000025776.13	chr1	17727044	17766344	+	protein_coding	39300	5607	73814	1147
Crisp4	ENSMUSG00000025774.14	chr1	18115190	18145902	-	protein_coding	30712	4235	54489	813
Defb18	ENSMUSG00000073735.1	chr1	18236472	18237443	-	protein_coding	971	143	1906	33
Defb41	ENSMUSG00000067773.6	chr1	18250979	18265138	-	protein_coding	14159	1876	21163	522
Tfap2d	ENSMUSG00000042596.7	chr1	19103021	19166346	+	protein_coding	63325	8019	99412	1300
Tfap2b	ENSMUSG00000025927.13	chr1	19208913	19238576	+	protein_coding	29663	3951	43240	746
Pkhd1	ENSMUSG00000043760.16	chr1	20057778	20618064	-	protein_coding	560286	75269	999637	15601
Il17a	ENSMUSG00000025929.4	chr1	20730904	20734496	+	protein_coding	3592	498	6559	104
Il17f	ENSMUSG00000041872.9	chr1	20777145	20790617	-	protein_coding	13472	1918	25098	342
Mcm3	ENSMUSG00000041859.10	chr1	20802967	20820312	-	protein_coding	17345	2640	39324	542
Paqr8	ENSMUSG00000025931.15	chr1	20890605	20939650	+	protein_coding	49045	7304	93052	2915
Efhc1	ENSMUSG00000041809.5	chr1	20951625	20990841	+	protein_coding	39216	5773	78059	1590
Tram2	ENSMUSG00000041779.5	chr1	20996298	21079229	-	protein_coding	82931	12946	188937	6760
Tmem14a	ENSMUSG00000025933.15	chr1	21218574	21230167	+	protein_coding	11593	1840	24548	939
Gsta3	ENSMUSG00000025934.15	chr1	21240588	21265661	+	protein_coding	25073	3678	51920	1078
Khdc1a	ENSMUSG00000067750.3	chr1	21349640	21352200	+	protein_coding	2560	357	3616	67
Khdc1c	ENSMUSG00000041722.7	chr1	21368330	21370845	+	protein_coding	2515	369	3746	126
Khdc1b	ENSMUSG00000085079.3	chr1	21383555	21386373	+	protein_coding	2818	413	4475	64
Kcnq5	ENSMUSG00000028033.16	chr1	21398402	21961942	-	protein_coding	563540	80030	1094872	30198
Rims1	ENSMUSG00000041670.17	chr1	22286250	22805994	-	protein_coding	519744	69404	895457	19259
