gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Xkr4	ENSMUSG00000051951.5	chr1	3205900	3671498	-	protein_coding	465598	66993	1371202	30526
Rp1	ENSMUSG00000025900.13	chr1	3999556	4409241	-	protein_coding	409685	57762	1212929	11588
Sox17	ENSMUSG00000025902.13	chr1	4490930	4497354	-	protein_coding	6424	796	11584	87
Mrpl15	ENSMUSG00000033845.13	chr1	4773205	4785739	-	protein_coding	12534	1814	33075	286
Lypla1	ENSMUSG00000025903.14	chr1	4807787	4848410	+	protein_coding	40623	5733	114465	1454
Gm37988	ENSMUSG00000104217.1	chr1	4807891	4886770	+	protein_coding	78879	11076	217750	2876
Tcea1	ENSMUSG00000033813.15	chr1	4857813	4897909	+	protein_coding	40096	5483	103794	1402
Rgs20	ENSMUSG00000002459.17	chr1	4909575	5070285	-	protein_coding	160710	23126	433394	6155
Atp6v1h	ENSMUSG00000033793.12	chr1	5070017	5162529	+	protein_coding	92512	12552	236333	2961
Oprk1	ENSMUSG00000025905.14	chr1	5588465	5606131	+	protein_coding	17666	2680	58212	593
Npbwr1	ENSMUSG00000033774.4	chr1	5913706	5917398	-	protein_coding	3692	528	9417	106
Rb1cc1	ENSMUSG00000025907.14	chr1	6206196	6276648	+	protein_coding	70452	9874	191540	1806
Alkal1	ENSMUSG00000087247.3	chr1	6359217	6394731	+	protein_coding	35514	5142	98510	2807
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	+	protein_coding	373710	53585	1016980	24336
Pcmtd1	ENSMUSG00000051285.17	chr1	7088919	7173628	+	protein_coding	84709	12136	241391	4815
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	-	protein_coding	938404	127705	2628420	23733
Rrs1	ENSMUSG00000061024.8	chr1	9545407	9547455	+	protein_coding	2048	258	5145	45
Adhfe1	ENSMUSG00000025911.14	chr1	9547947	9580673	+	protein_coding	32726	5104	100740	1441
Vxn	ENSMUSG00000067879.3	chr1	9601198	9627143	+	protein_coding	25945	3981	74178	3807
Mybl1	ENSMUSG00000025912.16	chr1	9667414	9700209	-	protein_coding	32795	4327	86283	2161
Vcpip1	ENSMUSG00000045210.8	chr1	9718621	9748382	-	protein_coding	29761	4042	73109	1064
Sgk3	ENSMUSG00000025915.14	chr1	9798106	9900845	+	protein_coding	102739	15107	294370	5030
Mcmdc2	ENSMUSG00000046101.16	chr1	9908637	9942085	+	protein_coding	33448	4997	98410	1056
Tcf24	ENSMUSG00000099032.2	chr1	9960162	9967932	-	protein_coding	7770	1090	23876	422
Ppp1r42	ENSMUSG00000025916.10	chr1	9968623	10009136	-	protein_coding	40513	6183	119154	1863
Cops5	ENSMUSG00000025917.9	chr1	10024600	10038168	-	protein_coding	13568	1968	40663	425
Cspp1	ENSMUSG00000056763.16	chr1	10037986	10136768	+	protein_coding	98782	14193	273626	2880
Arfgef1	ENSMUSG00000067851.11	chr1	10137570	10232670	-	protein_coding	95100	13676	274940	2911
Cpa6	ENSMUSG00000042501.12	chr1	10324719	10719945	-	protein_coding	395226	56944	1149068	13663
Prex2	ENSMUSG00000048960.13	chr1	10993464	11303681	+	protein_coding	310217	44346	949381	21011
A830018L16Rik	ENSMUSG00000057715.13	chr1	11414104	11975901	+	protein_coding	561797	76301	1587764	20149
Sulf1	ENSMUSG00000016918.15	chr1	12692276	12861192	+	protein_coding	168916	25641	519673	10982
Slco5a1	ENSMUSG00000025938.16	chr1	12866548	12992650	-	protein_coding	126102	19134	388255	6087
Prdm14	ENSMUSG00000042414.7	chr1	13113456	13127163	-	protein_coding	13707	2145	40393	776
Ncoa2	ENSMUSG00000005886.14	chr1	13139104	13374083	-	protein_coding	234979	35769	699394	15607
Tram1	ENSMUSG00000025935.10	chr1	13564697	13589910	-	protein_coding	25213	3800	76989	994
Lactb2	ENSMUSG00000025937.6	chr1	13623329	13660546	-	protein_coding	37217	5579	110795	1787
Xkr9	ENSMUSG00000067813.3	chr1	13668770	13701723	+	protein_coding	32953	4736	93189	1654
Eya1	ENSMUSG00000025932.14	chr1	14168953	14310235	-	protein_coding	141282	21314	467575	19194
Msc	ENSMUSG00000025930.6	chr1	14753345	14755992	-	protein_coding	2647	390	6079	235
Trpa1	ENSMUSG00000032769.5	chr1	14872647	14918862	-	protein_coding	46215	6851	152688	1434
Kcnb2	ENSMUSG00000092083.4	chr1	15287253	15723750	+	protein_coding	436497	64054	1328364	60775
Terf1	ENSMUSG00000025925.14	chr1	15805645	15844052	+	protein_coding	38407	5296	109775	1528
