gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Xkr4	ENSMUSG00000051951.5	chr1	3205900	3671498	-	protein_coding	465598	66771	1166021	29404
Rp1	ENSMUSG00000025900.13	chr1	3999556	4409241	-	protein_coding	409685	57673	1000106	11855
Sox17	ENSMUSG00000025902.13	chr1	4490930	4497354	-	protein_coding	6424	796	10733	117
Mrpl15	ENSMUSG00000033845.13	chr1	4773205	4785739	-	protein_coding	12534	1814	30865	365
Lypla1	ENSMUSG00000025903.14	chr1	4807787	4848410	+	protein_coding	40623	5737	102244	1539
Gm37988	ENSMUSG00000104217.1	chr1	4807891	4886770	+	protein_coding	78879	11060	196289	3039
Tcea1	ENSMUSG00000033813.15	chr1	4857813	4897909	+	protein_coding	40096	5443	93537	1470
Rgs20	ENSMUSG00000002459.17	chr1	4909575	5070285	-	protein_coding	160710	23092	386825	5926
Atp6v1h	ENSMUSG00000033793.12	chr1	5070017	5162529	+	protein_coding	92512	12543	212387	2976
Oprk1	ENSMUSG00000025905.14	chr1	5588465	5606131	+	protein_coding	17666	2667	48057	598
Npbwr1	ENSMUSG00000033774.4	chr1	5913706	5917398	-	protein_coding	3692	532	8676	148
Rb1cc1	ENSMUSG00000025907.14	chr1	6206196	6276648	+	protein_coding	70452	9851	170862	2206
Alkal1	ENSMUSG00000087247.3	chr1	6359217	6394731	+	protein_coding	35514	5143	89618	2232
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	+	protein_coding	373710	53515	945016	33870
Pcmtd1	ENSMUSG00000051285.17	chr1	7088919	7173628	+	protein_coding	84709	12092	216646	4215
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	-	protein_coding	938404	127275	2154756	26683
Rrs1	ENSMUSG00000061024.8	chr1	9545407	9547455	+	protein_coding	2048	258	5183	115
Adhfe1	ENSMUSG00000025911.14	chr1	9547947	9580673	+	protein_coding	32726	5094	90189	1567
Vxn	ENSMUSG00000067879.3	chr1	9601198	9627143	+	protein_coding	25945	3984	70545	3187
Mybl1	ENSMUSG00000025912.16	chr1	9667414	9700209	-	protein_coding	32795	4312	77852	2293
Vcpip1	ENSMUSG00000045210.8	chr1	9718621	9748382	-	protein_coding	29761	4020	64713	1066
Sgk3	ENSMUSG00000025915.14	chr1	9798106	9900845	+	protein_coding	102739	15127	267644	5143
Mcmdc2	ENSMUSG00000046101.16	chr1	9908637	9942085	+	protein_coding	33448	5009	88468	1173
Tcf24	ENSMUSG00000099032.2	chr1	9960162	9967932	-	protein_coding	7770	1089	19872	369
Ppp1r42	ENSMUSG00000025916.10	chr1	9968623	10009136	-	protein_coding	40513	6178	110275	2017
Cops5	ENSMUSG00000025917.9	chr1	10024600	10038168	-	protein_coding	13568	1968	37192	529
Cspp1	ENSMUSG00000056763.16	chr1	10037986	10136768	+	protein_coding	98782	14161	252179	3267
Arfgef1	ENSMUSG00000067851.11	chr1	10137570	10232670	-	protein_coding	95100	13643	247137	3200
Cpa6	ENSMUSG00000042501.12	chr1	10324719	10719945	-	protein_coding	395226	56922	969685	14764
Prex2	ENSMUSG00000048960.13	chr1	10993464	11303681	+	protein_coding	310217	44231	790321	22411
A830018L16Rik	ENSMUSG00000057715.13	chr1	11414104	11975901	+	protein_coding	561797	75946	1309234	21440
Sulf1	ENSMUSG00000016918.15	chr1	12692276	12861192	+	protein_coding	168916	25590	453060	9866
Slco5a1	ENSMUSG00000025938.16	chr1	12866548	12992650	-	protein_coding	126102	19162	341204	7146
Prdm14	ENSMUSG00000042414.7	chr1	13113456	13127163	-	protein_coding	13707	2144	38013	763
Ncoa2	ENSMUSG00000005886.14	chr1	13139104	13374083	-	protein_coding	234979	35759	660131	12877
Tram1	ENSMUSG00000025935.10	chr1	13564697	13589910	-	protein_coding	25213	3802	71184	915
Lactb2	ENSMUSG00000025937.6	chr1	13623329	13660546	-	protein_coding	37217	5570	102413	1882
Xkr9	ENSMUSG00000067813.3	chr1	13668770	13701723	+	protein_coding	32953	4713	78758	1814
Eya1	ENSMUSG00000025932.14	chr1	14168953	14310235	-	protein_coding	141282	21320	402522	22260
Msc	ENSMUSG00000025930.6	chr1	14753345	14755992	-	protein_coding	2647	390	5569	323
Trpa1	ENSMUSG00000032769.5	chr1	14872647	14918862	-	protein_coding	46215	6768	129194	1509
Kcnb2	ENSMUSG00000092083.4	chr1	15287253	15723750	+	protein_coding	436497	63968	1170794	57134
Terf1	ENSMUSG00000025925.14	chr1	15805645	15844052	+	protein_coding	38407	5295	94123	1716
Sbspon	ENSMUSG00000032719.4	chr1	15853861	15892722	-	protein_coding	38861	5581	92714	2287
4930444P10Rik	ENSMUSG00000067795.13	chr1	16065978	16093325	-	protein_coding	27347	3750	61775	1148
Rpl7	ENSMUSG00000043716.13	chr1	16101294	16104662	-	protein_coding	3368	488	8472	102
Rdh10	ENSMUSG00000025921.7	chr1	16105773	16133734	+	protein_coding	27961	4252	78995	2129
Stau2	ENSMUSG00000025920.19	chr1	16228673	16520112	-	protein_coding	291439	42222	736753	13007
Ube2w	ENSMUSG00000025939.19	chr1	16540789	16619489	-	protein_coding	78700	11485	200902	2743
Eloc	ENSMUSG00000079658.9	chr1	16641724	16657042	-	protein_coding	15318	2237	41012	619
Tmem70	ENSMUSG00000025940.6	chr1	16665206	16678275	+	protein_coding	13069	1828	32997	492
Ly96	ENSMUSG00000025779.10	chr1	16688050	16709611	+	protein_coding	21561	3231	55464	911
Jph1	ENSMUSG00000042686.5	chr1	16964559	17097889	-	protein_coding	133330	19405	339735	14926
Gdap1	ENSMUSG00000025777.8	chr1	17145361	17164271	+	protein_coding	18910	2677	48192	1460
