"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant","gene_id","chr","start","end","strand","gene_type","gene_length","mch_ctrl","mch_mut","mch_diff","ctrl_M1_mch","ctrl_M2_mch","ctrl_F1_mch","ctrl_F2_mch","mut_M1_mch","mut_M2_mch","mut_F1_mch","mut_F2_mch","n_ch_sites_mean","total_coverage_mean","edger_logFC","edger_logCPM","edger_F","edger_pval","edger_fdr","p_bonferroni","sig_bonferroni","sig_fdr005","sig_fdr010","mch_sig_vs_mecp2","mch_sig_vs_h2a","quadrant_mecp2","quadrant_h2a"
"0610040J01Rik",-0.058364766,0.811852365,0,1,FALSE,-0.306658613,0.006250169,1,1,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)","ENSMUSG00000060512.7","chr5",63812362,63899625,"+","protein_coding",87263,0.0198254649031783,0.0179025120370756,-0.00192295286610267,0.0212267516529515,0.0190062628900115,0.0189179013576064,0.0201509437121437,0.0160887311045033,0.0194307359265486,0.0177788667742675,0.0183117143429831,12370.125,274056.125,-0.207046181750806,5.73970981445764,20.8226434439496,0.00019570419326321,0.00090187753678243,1,FALSE,TRUE,TRUE,"Not significant","Significant","Q3 (down / down)","Q3 (down / down)"
"1110002E22Rik",1.81043954584761,4.72e-10,1,3,TRUE,1.01165202846383,1.04e-34,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000090066.2","chr3",138065051,138081506,"+","protein_coding",16455,0.0546724853391955,0.0696620393550583,0.0149895540158628,0.0577080222040632,0.0545866520186762,0.0529774127310062,0.0534178544030363,0.0681092586023413,0.0698848954662908,0.0729691637481849,0.0676848396034163,2597.375,57454.75,0.345051697440728,5.20846807586279,39.8690311801677,3.93112128980462e-06,2.9569058180218e-05,0.0800730095520303,FALSE,TRUE,TRUE,"Significant","Significant","Q1 (up / up)","Q1 (up / up)"
"1110004F10Rik",-0.024932455,0.932489266,0,1,FALSE,-0.290007635,0.00256583,1,1,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)","ENSMUSG00000030663.12","chr7",116039396,116105210,"+","protein_coding",65814,0.0200915301360054,0.0190903278845492,-0.00100120225145621,0.0221759341580512,0.0197757769256325,0.0192989072983123,0.0191155021620257,0.0176153596187175,0.0202241499398468,0.0195572939816873,0.0189645079979453,9309.75,219893,-0.11419575788243,5.47645495833332,4.77639953836606,0.0411154734013969,0.0851444771973418,1,FALSE,FALSE,TRUE,"Not significant","Not significant","Q3 (down / down)","Q3 (down / down)"
"1110017D15Rik",-0.046727688,0.852778558,0,1,FALSE,0.346753937,0.002512998,1,1,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)","ENSMUSG00000028441.12","chr4",41505008,41517333,"-","protein_coding",12325,0.0406795928525975,0.0351352821520018,-0.00554431070059562,0.0422335475293596,0.0409222303486226,0.0411966965519458,0.0383658969804618,0.0326586936522539,0.0375977185988111,0.0386359358691375,0.0316487804878049,1837.125,36830.25,-0.213865996318669,3.85712526977485,5.04734553391259,0.0363018055223633,0.0768879563985669,1,FALSE,FALSE,TRUE,"Not significant","Not significant","Q3 (down / down)","Q4 (up / down)"
"1110032F04Rik",-0.200654244,0.368911059,0,1,FALSE,0.094485154,0.322348997,0,1,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)","ENSMUSG00000046999.2","chr3",68869585,68872163,"+","protein_coding",2578,0.0590931918798707,0.0561672281290698,-0.00292596375080086,0.0576590428598885,0.0686456400742115,0.0546660197315219,0.0554020648538607,0.0553956834532374,0.0562722693205554,0.0556539142483258,0.0573470454941607,361,8094.75,-0.0734071783943153,2.26678886195269,0.214599163952591,0.648265736562311,0.740039499413648,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q3 (down / down)","Q4 (up / down)"
"1110059E24Rik",0.004314313,0.991416681,0,1,FALSE,0.781668341,0.004904951,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000035171.9","chr19",21581201,21652976,"-","protein_coding",71775,0.0259291270514711,0.0228296495469848,-0.00309947750448637,0.0267390822136035,0.0260404108598158,0.025929627588526,0.0250073875439393,0.0208338151960217,0.024852968677443,0.0218759987216363,0.023755815592838,10565.125,260314.375,-0.238801357120387,6.03352827520777,35.6498595709683,8.24027865591925e-06,5.59674011145112e-05,0.167846235942419,FALSE,TRUE,TRUE,"Not significant","Significant","Q4 (up / down)","Q4 (up / down)"
"1500009L16Rik",0.123780847362441,0.450312591,0,2,FALSE,0.139517807812433,0.242696141,0,2,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000087651.3","chr10",83722864,83762762,"+","protein_coding",39898,0.0488183692513949,0.0496396234497221,0.00082125419832725,0.0517637455541951,0.0482049087521285,0.046376682015289,0.0489281406839669,0.047164335385771,0.0525425688762973,0.0478526938436167,0.0509988956932035,6412.125,141569.625,-0.0188474985873453,6.16961835302429,0.266933787627989,0.611150565065411,0.709473425666544,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q4 (up / down)","Q4 (up / down)"
"1600014C10Rik",0.038819184,0.886270827,0,1,FALSE,0.631493529,5.09e-05,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000054676.15","chr7",38183216,38197568,"+","protein_coding",14352,0.0183682708509303,0.0204999249569017,0.00213165410597137,0.0251871297314555,0.0143145328432863,0.0137729096627264,0.0201985111662531,0.0184785452642596,0.0211589191106382,0.0182079085949451,0.0241543268577639,2193.25,46629,0.0269885329751448,3.22930572133458,0.036810327167202,0.849816517626173,0.898177404428219,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q1 (up / up)","Q1 (up / up)"
"1700003E16Rik",-0.040602089,0.879781784,0,1,FALSE,0.603339749,2.39e-07,1,1,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)","ENSMUSG00000030030.5","chr6",83156403,83162945,"+","protein_coding",6542,0.0335378715478166,0.0349993307959473,0.0014614592481307,0.0282485875706215,0.0291660961248802,0.0397231592415959,0.0370136432541688,0.0338045482483098,0.0350486333749932,0.0341355527747868,0.0370085887856993,926.25,19975.125,0.0816101051505837,2.83409647564996,0.383631060187794,0.542767452308918,0.649605161060013,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q2 (down / up)","Q1 (up / up)"
"1700003F12Rik",0.052794805,0.835675728,0,1,FALSE,0.214017575565488,0.038034896,1,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000038523.10","chr2",154547084,154550003,"+","protein_coding",2919,0.09186489516367,0.103526734056424,0.0116618388927537,0.0944801896376566,0.0913889307796712,0.0990907689936816,0.0824996912436705,0.0929178470254958,0.114137912057674,0.101578393546124,0.105472783596401,439,8952.875,0.122638438327345,3.16801713323031,1.14931426731023,0.296657420391033,0.411062244622106,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q1 (up / up)","Q1 (up / up)"
"1700007K13Rik",0.003258614,0.993595657,0,1,FALSE,0.470536659,0.000145719,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000026831.16","chr2",28462000,28466332,"-","protein_coding",4332,0.0357738404409052,0.0316124012470944,-0.00416143919381078,0.0471025720483421,0.0277082290101819,0.040651099369354,0.0276334613357428,0.0403253134530668,0.0332934131736527,0.0275926150365612,0.0252382633250971,711.75,15105.125,-0.165695348393837,2.38699300880049,0.782978830049443,0.38690986471271,0.504349611822167,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q4 (up / down)","Q4 (up / down)"
"1700010I14Rik",-0.105622067,0.62600857,0,1,FALSE,-0.128214599,0.476246987,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)","ENSMUSG00000023873.13","chr17",8988332,9011949,"+","protein_coding",23617,0.0312484256890742,0.0266947490861889,-0.00455367660288525,0.0344827586206897,0.0306650736758264,0.0294270607610297,0.0304188096987509,0.0244721786754077,0.028682160835483,0.0244565836758572,0.0291680731580078,3840.5,83327.875,-0.306824638464115,4.64312880758123,22.8646567384249,0.0001183437598819,0.00058211640788082,1,FALSE,TRUE,TRUE,"Not significant","Not significant","Q3 (down / down)","Q3 (down / down)"
"1700011L22Rik",2.02766337019658,1.53e-17,2,3,TRUE,0.95866737791575,7.14e-30,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000031682.5","chr8",79210430,79248570,"-","protein_coding",38140,0.0388028434082746,0.060425804320461,0.0216229609121864,0.0433202380672328,0.0372303656569595,0.0373612726620781,0.0372994972468279,0.0556529022161978,0.0636973800630088,0.058980396128172,0.0633725388744653,5964.25,142949.75,0.580008029139108,6.19622043941858,224.180844875029,3.20677387076194e-12,1.4355775159022e-10,6.53187769735499e-08,TRUE,TRUE,TRUE,"Significant","Significant","Q1 (up / up)","Q1 (up / up)"
"1700013F07Rik",0.132936474,0.532460107,0,1,FALSE,0.156355707727197,0.04915265,1,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000027886.7","chr3",108534149,108544723,"+","protein_coding",10574,0.0464970647457415,0.045665387164832,-0.00083167758090952,0.0425595620000856,0.045401215913535,0.0495419070240923,0.0484855740452532,0.0438223217618514,0.0438840267120163,0.0454976593335985,0.0494575408518618,1568.125,38960.25,-0.028957723568003,4.21811237546608,0.144423753555207,0.707990516058277,0.789125630061357,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q4 (up / down)","Q4 (up / down)"
"1700016D06Rik",0.0131631389211454,0.843763995,0,3,FALSE,0.349100336939085,0.004866381,1,3,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000031509.10","chr8",11654923,11701063,"-","protein_coding",46140,0.0372851377188884,0.042907574375792,0.00562243665690362,0.034812664706107,0.0374965120400606,0.0379785233270643,0.0388528508023216,0.0409585244081273,0.0453745469314413,0.0423818129557251,0.0429154132078744,7429.625,176302.125,0.191104398209433,6.19366458188085,19.2584790716164,0.00029313489548562,0.00128516243782754,1,FALSE,TRUE,TRUE,"Not significant","Significant","Q1 (up / up)","Q1 (up / up)"
"1700017B05Rik",0.0807349106387698,0.674032606,0,2,FALSE,-0.0897606762972123,0.573678443,0,2,FALSE,"Not significant","Q4 (MeCP2 up / H2A down)","ENSMUSG00000032300.7","chr9",57253116,57262612,"-","protein_coding",9496,0.0362349711280653,0.032465516833885,-0.00376945429418034,0.0382697201017812,0.0385099786863011,0.0318456951847502,0.0363144905394288,0.027945340391481,0.0347903501728171,0.0318078172144552,0.0353185595567867,1472.75,28321,-0.239047735833529,3.32850267299407,5.05730268901584,0.0361375128192193,0.0766196521926385,1,FALSE,FALSE,TRUE,"Not significant","Not significant","Q4 (up / down)","Q3 (down / down)"
"1700017N19Rik",1.620847188,5.26e-11,1,1,TRUE,1.50460229235622,1.69e-22,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000056912.12","chr10",100590483,100618401,"+","protein_coding",27918,0.0186965351302328,0.0357230660202826,0.0170265308900498,0.0185959348421508,0.0180637620933706,0.0182592818015825,0.0198671617838275,0.0347080964202771,0.0375322622824072,0.0342453773113443,0.0364065280671017,4025,95954.5,0.908024993029791,4.76463350751288,203.967617729229,7.54339952060477e-12,2.99515603967249e-10,1.53651504835199e-07,TRUE,TRUE,TRUE,"Significant","Significant","Q1 (up / up)","Q1 (up / up)"
"1700019D03Rik",1.36255742,1.48e-05,1,1,TRUE,1.474688394441,8.06e-25,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000043629.12","chr1",52922323,53020179,"-","protein_coding",97856,0.0285620269431682,0.0443840873310174,0.0158220603878492,0.0302491905010203,0.0285812859762852,0.0275350421918582,0.0278825891035092,0.0407219860918579,0.0458338419856737,0.0432501107199256,0.0477304105266124,12818,273099.625,0.581786401034126,6.690537413684,340.198362380402,6.86602827878135e-14,5.50606811064951e-12,1.39854130010497e-09,TRUE,TRUE,TRUE,"Significant","Significant","Q1 (up / up)","Q1 (up / up)"
"1700020L24Rik",-0.142916622,0.522085048,0,1,FALSE,0.057065918,0.61085038,0,1,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)","ENSMUSG00000035085.5","chr11",83437676,83441233,"+","protein_coding",3557,0.0359269466446522,0.0356542308067962,-0.00027271583785597,0.0428706326723324,0.0385642242657965,0.0367627255588473,0.0255102040816327,0.0337741243745533,0.0388478302065568,0.0321739130434783,0.0378210556025967,505.875,8653,-0.0740188308539886,1.69662410172147,0.125831258106392,0.726565142392524,0.803573078427177,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q3 (down / down)","Q4 (up / down)"
"1700024G13Rik",0.429031724819469,0.066389479,0,3,FALSE,-0.017711419,0.884655133,0,1,FALSE,"Not significant","Q4 (MeCP2 up / H2A down)","ENSMUSG00000072473.4","chr14",32376067,32388391,"-","protein_coding",12324,0.0662281195578661,0.0696751832544179,0.00344706369655179,0.0724665391969407,0.0673700513019069,0.0628628984476834,0.0622129892849333,0.0649780952030335,0.0712003651300776,0.0665538635081782,0.0759684091763821,1922.375,41600.5,0.0164245285886663,4.87164986509607,0.0718811022944385,0.791405980652571,0.853053311102938,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q1 (up / up)","Q2 (down / up)"
"1700025C18Rik",0.001611941,0.996538339,0,1,FALSE,0.157603768,0.327084018,0,1,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000078935.1","chr2",165078692,165090750,"-","protein_coding",12058,0.0408651197321696,0.0379793822839615,-0.0028857374482081,0.0425180825609857,0.0384996495637673,0.0419308459235864,0.0405119008803391,0.0373512865443143,0.0387791846879465,0.03499004542149,0.0407970124820954,2164.5,53367.125,-0.142571726018805,4.44889925424986,3.88186190360614,0.0630370397623691,0.120251701741098,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q4 (up / down)","Q4 (up / down)"
"1700025G04Rik",-0.0573738010125009,0.727501464,0,5,FALSE,0.69148791877812,1.33e-12,5,9,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)","ENSMUSG00000032666.16","chr1",151852402,152090125,"-","protein_coding",237723,0.031871697346423,0.032220443387067,0.00034874604064398,0.0327887739348833,0.0314282267941755,0.0312633041121943,0.0320064845444388,0.0304625599930932,0.0327322053995186,0.0321297259402349,0.0335572822154211,35732.75,812426.5,-0.0147862392477891,8.06881141622122,0.512649626107538,0.482399957422011,0.594686481433695,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q3 (down / down)","Q4 (up / down)"
"1700028P14Rik",2.29472104882088,7.97e-20,5,5,TRUE,1.47076426299296,6.64e-59,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000033053.4","chr19",23558752,23652812,"-","protein_coding",94060,0.0368447470532992,0.0519680004933146,0.0151232534400153,0.03819259176051,0.0361932807898704,0.0366507234485381,0.0363423922142783,0.0490806013792257,0.0532959948699407,0.0516348953171457,0.0538605104069461,13637.125,313711.75,0.464116980343562,7.17111398712157,315.060465290737,1.40330953015822e-13,1.0017488350514e-11,2.85840118197928e-09,TRUE,TRUE,TRUE,"Significant","Significant","Q1 (up / up)","Q1 (up / up)"
"1700029H14Rik",-0.145560921,0.427285859,0,1,FALSE,-0.4647091655889,0.000148078,1,2,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)","ENSMUSG00000031452.15","chr8",13550732,13562461,"-","protein_coding",11729,0.0268310066089645,0.0242129371267579,-0.00261806948220663,0.0264580478148317,0.0281299524564184,0.0245491145952669,0.028186911569341,0.0209947003668977,0.0233884061922881,0.0236103043908259,0.0288583375570198,1927.875,40276.625,-0.222789988061489,3.40121373746497,4.22466826197846,0.0533471454037755,0.105140590685003,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q3 (down / down)","Q3 (down / down)"
"1700029J07Rik",-0.144224563,0.488483618,0,1,FALSE,1.142550604,8.02e-13,1,1,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)","ENSMUSG00000071103.10","chr8",45953605,45975440,"-","protein_coding",21835,0.0159960310190181,0.0157539314552878,-0.00024209956373021,0.0174640265649982,0.0159723281957373,0.0143143524577942,0.0162334168575425,0.0127646517336606,0.017090925880325,0.0150491276511573,0.0181110205560083,3102.375,72869.375,-0.145683413142295,3.57914570178206,2.34274906864603,0.141775723711481,0.230823252839834,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q3 (down / down)","Q4 (up / down)"
"1700037H04Rik",-0.108615302734058,0.573481681,0,2,FALSE,0.577062376,3.98e-07,1,1,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)","ENSMUSG00000027327.16","chr2",131146323,131160081,"-","protein_coding",13758,0.0166085691479117,0.0152513057750741,-0.00135726337283765,0.0171105193075899,0.0155157408241049,0.0177377756724038,0.0160702407875482,0.0132840362529856,0.0170502702286211,0.0133167036935989,0.0173542129250906,2182,46444.375,-0.225925303979823,2.92719178093302,3.31688172674626,0.0838024762632974,0.151381042834969,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q3 (down / down)","Q4 (up / down)"
"1700113H08Rik",-0.053577427,0.823594255,0,1,FALSE,0.105844128282193,0.097124179,0,2,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)","ENSMUSG00000047129.11","chr10",87058044,87230589,"+","protein_coding",172545,0.0174829165955061,0.0183343789695419,0.00085146237403577,0.0190644959065489,0.0161602754118044,0.0167235170498347,0.0179833780138363,0.0164137796829138,0.0193583506970637,0.0179842713902455,0.0195811141079444,24046.875,549335.625,-0.00090065801420925,6.67103811174711,0.00067033250869231,0.979605058640747,0.986433430860855,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q3 (down / down)","Q4 (up / down)"
